# REM-INV-4 LIVE grants — captured 2026-09-13T05:44:14.707Z
# [TABLES] grantee	schema	table	privilege  (rows=4133)
service_role	public	backup_table_registry	TRIGGER
service_role	public	backup_table_registry	TRUNCATE
service_role	public	backup_table_registry	UPDATE
anon	public	bank_statement_items	DELETE
anon	public	bank_statement_items	INSERT
anon	public	bank_statement_items	REFERENCES
anon	public	bank_statement_items	SELECT
anon	public	bank_statement_items	TRIGGER
anon	public	bank_statement_items	TRUNCATE
anon	public	bank_statement_items	UPDATE
authenticated	public	bank_statement_items	DELETE
authenticated	public	bank_statement_items	INSERT
authenticated	public	bank_statement_items	REFERENCES
authenticated	public	bank_statement_items	SELECT
authenticated	public	bank_statement_items	TRIGGER
authenticated	public	bank_statement_items	TRUNCATE
authenticated	public	bank_statement_items	UPDATE
postgres	public	bank_statement_items	DELETE
postgres	public	bank_statement_items	INSERT
postgres	public	bank_statement_items	REFERENCES
postgres	public	bank_statement_items	SELECT
postgres	public	bank_statement_items	TRIGGER
postgres	public	bank_statement_items	TRUNCATE
postgres	public	bank_statement_items	UPDATE
service_role	public	bank_statement_items	DELETE
service_role	public	bank_statement_items	INSERT
service_role	public	bank_statement_items	REFERENCES
service_role	public	bank_statement_items	SELECT
service_role	public	bank_statement_items	TRIGGER
service_role	public	bank_statement_items	TRUNCATE
service_role	public	bank_statement_items	UPDATE
anon	public	bank_statements	DELETE
anon	public	bank_statements	INSERT
anon	public	bank_statements	REFERENCES
anon	public	bank_statements	SELECT
anon	public	bank_statements	TRIGGER
anon	public	bank_statements	TRUNCATE
anon	public	bank_statements	UPDATE
authenticated	public	bank_statements	DELETE
authenticated	public	bank_statements	INSERT
authenticated	public	bank_statements	REFERENCES
authenticated	public	bank_statements	SELECT
authenticated	public	bank_statements	TRIGGER
authenticated	public	bank_statements	TRUNCATE
authenticated	public	bank_statements	UPDATE
postgres	public	bank_statements	DELETE
postgres	public	bank_statements	INSERT
postgres	public	bank_statements	REFERENCES
postgres	public	bank_statements	SELECT
postgres	public	bank_statements	TRIGGER
postgres	public	bank_statements	TRUNCATE
postgres	public	bank_statements	UPDATE
service_role	public	bank_statements	DELETE
service_role	public	bank_statements	INSERT
service_role	public	bank_statements	REFERENCES
service_role	public	bank_statements	SELECT
service_role	public	bank_statements	TRIGGER
service_role	public	bank_statements	TRUNCATE
service_role	public	bank_statements	UPDATE
anon	public	bulk_confirmation_tokens	DELETE
anon	public	bulk_confirmation_tokens	INSERT
anon	public	bulk_confirmation_tokens	REFERENCES
anon	public	bulk_confirmation_tokens	SELECT
anon	public	bulk_confirmation_tokens	TRIGGER
anon	public	bulk_confirmation_tokens	TRUNCATE
anon	public	bulk_confirmation_tokens	UPDATE
authenticated	public	bulk_confirmation_tokens	DELETE
authenticated	public	bulk_confirmation_tokens	INSERT
authenticated	public	bulk_confirmation_tokens	REFERENCES
authenticated	public	bulk_confirmation_tokens	SELECT
authenticated	public	bulk_confirmation_tokens	TRIGGER
authenticated	public	bulk_confirmation_tokens	TRUNCATE
authenticated	public	bulk_confirmation_tokens	UPDATE
postgres	public	bulk_confirmation_tokens	DELETE
postgres	public	bulk_confirmation_tokens	INSERT
postgres	public	bulk_confirmation_tokens	REFERENCES
postgres	public	bulk_confirmation_tokens	SELECT
postgres	public	bulk_confirmation_tokens	TRIGGER
postgres	public	bulk_confirmation_tokens	TRUNCATE
postgres	public	bulk_confirmation_tokens	UPDATE
service_role	public	bulk_confirmation_tokens	DELETE
service_role	public	bulk_confirmation_tokens	INSERT
service_role	public	bulk_confirmation_tokens	REFERENCES
service_role	public	bulk_confirmation_tokens	SELECT
service_role	public	bulk_confirmation_tokens	TRIGGER
service_role	public	bulk_confirmation_tokens	TRUNCATE
service_role	public	bulk_confirmation_tokens	UPDATE
anon	public	bulk_ops_log	DELETE
anon	public	bulk_ops_log	INSERT
anon	public	bulk_ops_log	REFERENCES
anon	public	bulk_ops_log	SELECT
anon	public	bulk_ops_log	TRIGGER
anon	public	bulk_ops_log	TRUNCATE
anon	public	bulk_ops_log	UPDATE
authenticated	public	bulk_ops_log	DELETE
authenticated	public	bulk_ops_log	INSERT
authenticated	public	bulk_ops_log	REFERENCES
authenticated	public	bulk_ops_log	SELECT
authenticated	public	bulk_ops_log	TRIGGER
authenticated	public	bulk_ops_log	TRUNCATE
authenticated	public	bulk_ops_log	UPDATE
postgres	public	bulk_ops_log	DELETE
postgres	public	bulk_ops_log	INSERT
postgres	public	bulk_ops_log	REFERENCES
postgres	public	bulk_ops_log	SELECT
postgres	public	bulk_ops_log	TRIGGER
postgres	public	bulk_ops_log	TRUNCATE
postgres	public	bulk_ops_log	UPDATE
service_role	public	bulk_ops_log	DELETE
service_role	public	bulk_ops_log	INSERT
service_role	public	bulk_ops_log	REFERENCES
service_role	public	bulk_ops_log	SELECT
service_role	public	bulk_ops_log	TRIGGER
service_role	public	bulk_ops_log	TRUNCATE
service_role	public	bulk_ops_log	UPDATE
anon	public	business_events	DELETE
anon	public	business_events	INSERT
anon	public	business_events	REFERENCES
anon	public	business_events	SELECT
anon	public	business_events	TRIGGER
anon	public	business_events	TRUNCATE
anon	public	business_events	UPDATE
authenticated	public	business_events	DELETE
authenticated	public	business_events	INSERT
authenticated	public	business_events	REFERENCES
authenticated	public	business_events	SELECT
authenticated	public	business_events	TRIGGER
authenticated	public	business_events	TRUNCATE
authenticated	public	business_events	UPDATE
postgres	public	business_events	DELETE
postgres	public	business_events	INSERT
postgres	public	business_events	REFERENCES
postgres	public	business_events	SELECT
postgres	public	business_events	TRIGGER
postgres	public	business_events	TRUNCATE
postgres	public	business_events	UPDATE
service_role	public	business_events	DELETE
service_role	public	business_events	INSERT
service_role	public	business_events	REFERENCES
service_role	public	business_events	SELECT
service_role	public	business_events	TRIGGER
service_role	public	business_events	TRUNCATE
service_role	public	business_events	UPDATE
anon	public	cash_closures	DELETE
anon	public	cash_closures	INSERT
anon	public	cash_closures	REFERENCES
anon	public	cash_closures	SELECT
anon	public	cash_closures	TRIGGER
anon	public	cash_closures	TRUNCATE
anon	public	cash_closures	UPDATE
authenticated	public	cash_closures	DELETE
authenticated	public	cash_closures	INSERT
authenticated	public	cash_closures	REFERENCES
authenticated	public	cash_closures	SELECT
authenticated	public	cash_closures	TRIGGER
authenticated	public	cash_closures	TRUNCATE
authenticated	public	cash_closures	UPDATE
postgres	public	cash_closures	DELETE
postgres	public	cash_closures	INSERT
postgres	public	cash_closures	REFERENCES
postgres	public	cash_closures	SELECT
postgres	public	cash_closures	TRIGGER
postgres	public	cash_closures	TRUNCATE
postgres	public	cash_closures	UPDATE
service_role	public	cash_closures	DELETE
service_role	public	cash_closures	INSERT
service_role	public	cash_closures	REFERENCES
service_role	public	cash_closures	SELECT
service_role	public	cash_closures	TRIGGER
service_role	public	cash_closures	TRUNCATE
service_role	public	cash_closures	UPDATE
anon	public	cash_movements	DELETE
anon	public	cash_movements	INSERT
anon	public	cash_movements	REFERENCES
anon	public	cash_movements	SELECT
anon	public	cash_movements	TRIGGER
anon	public	cash_movements	TRUNCATE
anon	public	cash_movements	UPDATE
authenticated	public	cash_movements	DELETE
authenticated	public	cash_movements	INSERT
authenticated	public	cash_movements	REFERENCES
authenticated	public	cash_movements	SELECT
authenticated	public	cash_movements	TRIGGER
authenticated	public	cash_movements	TRUNCATE
authenticated	public	cash_movements	UPDATE
postgres	public	cash_movements	DELETE
postgres	public	cash_movements	INSERT
postgres	public	cash_movements	REFERENCES
postgres	public	cash_movements	SELECT
postgres	public	cash_movements	TRIGGER
postgres	public	cash_movements	TRUNCATE
postgres	public	cash_movements	UPDATE
service_role	public	cash_movements	DELETE
service_role	public	cash_movements	INSERT
service_role	public	cash_movements	REFERENCES
service_role	public	cash_movements	SELECT
service_role	public	cash_movements	TRIGGER
service_role	public	cash_movements	TRUNCATE
service_role	public	cash_movements	UPDATE
anon	public	cash_register_sessions	DELETE
anon	public	cash_register_sessions	INSERT
anon	public	cash_register_sessions	REFERENCES
anon	public	cash_register_sessions	SELECT
anon	public	cash_register_sessions	TRIGGER
anon	public	cash_register_sessions	TRUNCATE
anon	public	cash_register_sessions	UPDATE
authenticated	public	cash_register_sessions	DELETE
authenticated	public	cash_register_sessions	INSERT
authenticated	public	cash_register_sessions	REFERENCES
authenticated	public	cash_register_sessions	SELECT
authenticated	public	cash_register_sessions	TRIGGER
authenticated	public	cash_register_sessions	TRUNCATE
authenticated	public	cash_register_sessions	UPDATE
postgres	public	cash_register_sessions	DELETE
postgres	public	cash_register_sessions	INSERT
postgres	public	cash_register_sessions	REFERENCES
postgres	public	cash_register_sessions	SELECT
postgres	public	cash_register_sessions	TRIGGER
postgres	public	cash_register_sessions	TRUNCATE
postgres	public	cash_register_sessions	UPDATE
service_role	public	cash_register_sessions	DELETE
service_role	public	cash_register_sessions	INSERT
service_role	public	cash_register_sessions	REFERENCES
service_role	public	cash_register_sessions	SELECT
service_role	public	cash_register_sessions	TRIGGER
service_role	public	cash_register_sessions	TRUNCATE
service_role	public	cash_register_sessions	UPDATE
anon	public	cash_sessions	DELETE
anon	public	cash_sessions	INSERT
anon	public	cash_sessions	REFERENCES
anon	public	cash_sessions	SELECT
anon	public	cash_sessions	TRIGGER
anon	public	cash_sessions	TRUNCATE
anon	public	cash_sessions	UPDATE
authenticated	public	cash_sessions	DELETE
authenticated	public	cash_sessions	INSERT
authenticated	public	cash_sessions	REFERENCES
authenticated	public	cash_sessions	SELECT
authenticated	public	cash_sessions	TRIGGER
authenticated	public	cash_sessions	TRUNCATE
authenticated	public	cash_sessions	UPDATE
postgres	public	cash_sessions	DELETE
postgres	public	cash_sessions	INSERT
postgres	public	cash_sessions	REFERENCES
postgres	public	cash_sessions	SELECT
postgres	public	cash_sessions	TRIGGER
postgres	public	cash_sessions	TRUNCATE
postgres	public	cash_sessions	UPDATE
service_role	public	cash_sessions	DELETE
service_role	public	cash_sessions	INSERT
service_role	public	cash_sessions	REFERENCES
service_role	public	cash_sessions	SELECT
service_role	public	cash_sessions	TRIGGER
service_role	public	cash_sessions	TRUNCATE
service_role	public	cash_sessions	UPDATE
anon	public	categories	DELETE
anon	public	categories	INSERT
anon	public	categories	REFERENCES
anon	public	categories	SELECT
anon	public	categories	TRIGGER
anon	public	categories	TRUNCATE
anon	public	categories	UPDATE
authenticated	public	categories	DELETE
authenticated	public	categories	INSERT
authenticated	public	categories	REFERENCES
authenticated	public	categories	SELECT
authenticated	public	categories	TRIGGER
authenticated	public	categories	TRUNCATE
authenticated	public	categories	UPDATE
postgres	public	categories	DELETE
postgres	public	categories	INSERT
postgres	public	categories	REFERENCES
postgres	public	categories	SELECT
postgres	public	categories	TRIGGER
postgres	public	categories	TRUNCATE
postgres	public	categories	UPDATE
service_role	public	categories	DELETE
service_role	public	categories	INSERT
service_role	public	categories	REFERENCES
service_role	public	categories	SELECT
service_role	public	categories	TRIGGER
service_role	public	categories	TRUNCATE
service_role	public	categories	UPDATE
anon	public	commission_payments	DELETE
anon	public	commission_payments	INSERT
anon	public	commission_payments	REFERENCES
anon	public	commission_payments	SELECT
anon	public	commission_payments	TRIGGER
anon	public	commission_payments	TRUNCATE
anon	public	commission_payments	UPDATE
authenticated	public	commission_payments	DELETE
authenticated	public	commission_payments	INSERT
authenticated	public	commission_payments	REFERENCES
authenticated	public	commission_payments	SELECT
authenticated	public	commission_payments	TRIGGER
authenticated	public	commission_payments	TRUNCATE
authenticated	public	commission_payments	UPDATE
postgres	public	commission_payments	DELETE
postgres	public	commission_payments	INSERT
postgres	public	commission_payments	REFERENCES
postgres	public	commission_payments	SELECT
postgres	public	commission_payments	TRIGGER
postgres	public	commission_payments	TRUNCATE
postgres	public	commission_payments	UPDATE
service_role	public	commission_payments	DELETE
service_role	public	commission_payments	INSERT
service_role	public	commission_payments	REFERENCES
service_role	public	commission_payments	SELECT
service_role	public	commission_payments	TRIGGER
service_role	public	commission_payments	TRUNCATE
service_role	public	commission_payments	UPDATE
anon	public	commission_reception_links	DELETE
anon	public	commission_reception_links	INSERT
anon	public	commission_reception_links	REFERENCES
anon	public	commission_reception_links	SELECT
anon	public	commission_reception_links	TRIGGER
anon	public	commission_reception_links	TRUNCATE
anon	public	commission_reception_links	UPDATE
authenticated	public	commission_reception_links	DELETE
authenticated	public	commission_reception_links	INSERT
authenticated	public	commission_reception_links	REFERENCES
authenticated	public	commission_reception_links	SELECT
authenticated	public	commission_reception_links	TRIGGER
authenticated	public	commission_reception_links	TRUNCATE
authenticated	public	commission_reception_links	UPDATE
postgres	public	commission_reception_links	DELETE
postgres	public	commission_reception_links	INSERT
postgres	public	commission_reception_links	REFERENCES
postgres	public	commission_reception_links	SELECT
postgres	public	commission_reception_links	TRIGGER
postgres	public	commission_reception_links	TRUNCATE
postgres	public	commission_reception_links	UPDATE
service_role	public	commission_reception_links	DELETE
service_role	public	commission_reception_links	INSERT
service_role	public	commission_reception_links	REFERENCES
service_role	public	commission_reception_links	SELECT
service_role	public	commission_reception_links	TRIGGER
service_role	public	commission_reception_links	TRUNCATE
service_role	public	commission_reception_links	UPDATE
anon	public	commission_rule_products	DELETE
anon	public	commission_rule_products	INSERT
anon	public	commission_rule_products	REFERENCES
anon	public	commission_rule_products	SELECT
anon	public	commission_rule_products	TRIGGER
anon	public	commission_rule_products	TRUNCATE
anon	public	commission_rule_products	UPDATE
authenticated	public	commission_rule_products	DELETE
authenticated	public	commission_rule_products	INSERT
authenticated	public	commission_rule_products	REFERENCES
authenticated	public	commission_rule_products	SELECT
authenticated	public	commission_rule_products	TRIGGER
authenticated	public	commission_rule_products	TRUNCATE
authenticated	public	commission_rule_products	UPDATE
postgres	public	commission_rule_products	DELETE
postgres	public	commission_rule_products	INSERT
postgres	public	commission_rule_products	REFERENCES
postgres	public	commission_rule_products	SELECT
postgres	public	commission_rule_products	TRIGGER
postgres	public	commission_rule_products	TRUNCATE
postgres	public	commission_rule_products	UPDATE
service_role	public	commission_rule_products	DELETE
service_role	public	commission_rule_products	INSERT
service_role	public	commission_rule_products	REFERENCES
service_role	public	commission_rule_products	SELECT
service_role	public	commission_rule_products	TRIGGER
service_role	public	commission_rule_products	TRUNCATE
service_role	public	commission_rule_products	UPDATE
anon	public	commission_rule_versions	DELETE
anon	public	commission_rule_versions	INSERT
anon	public	commission_rule_versions	REFERENCES
anon	public	commission_rule_versions	SELECT
anon	public	commission_rule_versions	TRIGGER
anon	public	commission_rule_versions	TRUNCATE
anon	public	commission_rule_versions	UPDATE
authenticated	public	commission_rule_versions	DELETE
authenticated	public	commission_rule_versions	INSERT
authenticated	public	commission_rule_versions	REFERENCES
authenticated	public	commission_rule_versions	SELECT
authenticated	public	commission_rule_versions	TRIGGER
authenticated	public	commission_rule_versions	TRUNCATE
authenticated	public	commission_rule_versions	UPDATE
postgres	public	commission_rule_versions	DELETE
postgres	public	commission_rule_versions	INSERT
postgres	public	commission_rule_versions	REFERENCES
postgres	public	commission_rule_versions	SELECT
postgres	public	commission_rule_versions	TRIGGER
postgres	public	commission_rule_versions	TRUNCATE
postgres	public	commission_rule_versions	UPDATE
service_role	public	commission_rule_versions	DELETE
service_role	public	commission_rule_versions	INSERT
service_role	public	commission_rule_versions	REFERENCES
service_role	public	commission_rule_versions	SELECT
service_role	public	commission_rule_versions	TRIGGER
service_role	public	commission_rule_versions	TRUNCATE
service_role	public	commission_rule_versions	UPDATE
anon	public	commission_rules	DELETE
anon	public	commission_rules	INSERT
anon	public	commission_rules	REFERENCES
anon	public	commission_rules	SELECT
anon	public	commission_rules	TRIGGER
anon	public	commission_rules	TRUNCATE
anon	public	commission_rules	UPDATE
authenticated	public	commission_rules	DELETE
authenticated	public	commission_rules	INSERT
authenticated	public	commission_rules	REFERENCES
authenticated	public	commission_rules	SELECT
authenticated	public	commission_rules	TRIGGER
authenticated	public	commission_rules	TRUNCATE
authenticated	public	commission_rules	UPDATE
postgres	public	commission_rules	DELETE
postgres	public	commission_rules	INSERT
postgres	public	commission_rules	REFERENCES
postgres	public	commission_rules	SELECT
postgres	public	commission_rules	TRIGGER
postgres	public	commission_rules	TRUNCATE
postgres	public	commission_rules	UPDATE
service_role	public	commission_rules	DELETE
service_role	public	commission_rules	INSERT
service_role	public	commission_rules	REFERENCES
service_role	public	commission_rules	SELECT
service_role	public	commission_rules	TRIGGER
service_role	public	commission_rules	TRUNCATE
service_role	public	commission_rules	UPDATE
anon	public	cost_sheet_templates	DELETE
anon	public	cost_sheet_templates	INSERT
anon	public	cost_sheet_templates	REFERENCES
anon	public	cost_sheet_templates	SELECT
anon	public	cost_sheet_templates	TRIGGER
anon	public	cost_sheet_templates	TRUNCATE
anon	public	cost_sheet_templates	UPDATE
authenticated	public	cost_sheet_templates	DELETE
authenticated	public	cost_sheet_templates	INSERT
authenticated	public	cost_sheet_templates	REFERENCES
authenticated	public	cost_sheet_templates	SELECT
authenticated	public	cost_sheet_templates	TRIGGER
authenticated	public	cost_sheet_templates	TRUNCATE
authenticated	public	cost_sheet_templates	UPDATE
postgres	public	cost_sheet_templates	DELETE
postgres	public	cost_sheet_templates	INSERT
postgres	public	cost_sheet_templates	REFERENCES
postgres	public	cost_sheet_templates	SELECT
postgres	public	cost_sheet_templates	TRIGGER
postgres	public	cost_sheet_templates	TRUNCATE
postgres	public	cost_sheet_templates	UPDATE
service_role	public	cost_sheet_templates	DELETE
service_role	public	cost_sheet_templates	INSERT
service_role	public	cost_sheet_templates	REFERENCES
service_role	public	cost_sheet_templates	SELECT
service_role	public	cost_sheet_templates	TRIGGER
service_role	public	cost_sheet_templates	TRUNCATE
service_role	public	cost_sheet_templates	UPDATE
anon	public	cost_sheets	DELETE
anon	public	cost_sheets	INSERT
anon	public	cost_sheets	REFERENCES
anon	public	cost_sheets	SELECT
anon	public	cost_sheets	TRIGGER
anon	public	cost_sheets	TRUNCATE
anon	public	cost_sheets	UPDATE
authenticated	public	cost_sheets	DELETE
authenticated	public	cost_sheets	INSERT
authenticated	public	cost_sheets	REFERENCES
authenticated	public	cost_sheets	SELECT
authenticated	public	cost_sheets	TRIGGER
authenticated	public	cost_sheets	TRUNCATE
authenticated	public	cost_sheets	UPDATE
postgres	public	cost_sheets	DELETE
postgres	public	cost_sheets	INSERT
postgres	public	cost_sheets	REFERENCES
postgres	public	cost_sheets	SELECT
postgres	public	cost_sheets	TRIGGER
postgres	public	cost_sheets	TRUNCATE
postgres	public	cost_sheets	UPDATE
service_role	public	cost_sheets	DELETE
service_role	public	cost_sheets	INSERT
service_role	public	cost_sheets	REFERENCES
service_role	public	cost_sheets	SELECT
service_role	public	cost_sheets	TRIGGER
service_role	public	cost_sheets	TRUNCATE
service_role	public	cost_sheets	UPDATE
anon	public	customers	DELETE
anon	public	customers	INSERT
anon	public	customers	REFERENCES
anon	public	customers	SELECT
anon	public	customers	TRIGGER
anon	public	customers	TRUNCATE
anon	public	customers	UPDATE
authenticated	public	customers	DELETE
authenticated	public	customers	INSERT
authenticated	public	customers	REFERENCES
authenticated	public	customers	SELECT
authenticated	public	customers	TRIGGER
authenticated	public	customers	TRUNCATE
authenticated	public	customers	UPDATE
postgres	public	customers	DELETE
postgres	public	customers	INSERT
postgres	public	customers	REFERENCES
postgres	public	customers	SELECT
postgres	public	customers	TRIGGER
postgres	public	customers	TRUNCATE
postgres	public	customers	UPDATE
service_role	public	customers	DELETE
service_role	public	customers	INSERT
service_role	public	customers	REFERENCES
service_role	public	customers	SELECT
service_role	public	customers	TRIGGER
service_role	public	customers	TRUNCATE
service_role	public	customers	UPDATE
anon	public	devolution_items	REFERENCES
anon	public	devolution_items	SELECT
anon	public	devolution_items	TRIGGER
authenticated	public	devolution_items	REFERENCES
authenticated	public	devolution_items	SELECT
authenticated	public	devolution_items	TRIGGER
postgres	public	devolution_items	DELETE
postgres	public	devolution_items	INSERT
postgres	public	devolution_items	REFERENCES
postgres	public	devolution_items	SELECT
postgres	public	devolution_items	TRIGGER
postgres	public	devolution_items	TRUNCATE
postgres	public	devolution_items	UPDATE
service_role	public	devolution_items	DELETE
service_role	public	devolution_items	INSERT
service_role	public	devolution_items	REFERENCES
service_role	public	devolution_items	SELECT
service_role	public	devolution_items	TRIGGER
service_role	public	devolution_items	TRUNCATE
service_role	public	devolution_items	UPDATE
anon	public	devolutions	REFERENCES
anon	public	devolutions	SELECT
anon	public	devolutions	TRIGGER
authenticated	public	devolutions	REFERENCES
authenticated	public	devolutions	SELECT
authenticated	public	devolutions	TRIGGER
postgres	public	devolutions	DELETE
postgres	public	devolutions	INSERT
postgres	public	devolutions	REFERENCES
postgres	public	devolutions	SELECT
postgres	public	devolutions	TRIGGER
postgres	public	devolutions	TRUNCATE
postgres	public	devolutions	UPDATE
service_role	public	devolutions	DELETE
service_role	public	devolutions	INSERT
service_role	public	devolutions	REFERENCES
service_role	public	devolutions	SELECT
service_role	public	devolutions	TRIGGER
service_role	public	devolutions	TRUNCATE
service_role	public	devolutions	UPDATE
authenticated	public	document_sequences	SELECT
postgres	public	document_sequences	DELETE
postgres	public	document_sequences	INSERT
postgres	public	document_sequences	REFERENCES
postgres	public	document_sequences	SELECT
postgres	public	document_sequences	TRIGGER
postgres	public	document_sequences	TRUNCATE
postgres	public	document_sequences	UPDATE
service_role	public	document_sequences	DELETE
service_role	public	document_sequences	INSERT
service_role	public	document_sequences	REFERENCES
service_role	public	document_sequences	SELECT
service_role	public	document_sequences	TRIGGER
service_role	public	document_sequences	TRUNCATE
service_role	public	document_sequences	UPDATE
anon	public	exchange_rate_audit	DELETE
anon	public	exchange_rate_audit	INSERT
anon	public	exchange_rate_audit	REFERENCES
anon	public	exchange_rate_audit	SELECT
anon	public	exchange_rate_audit	TRIGGER
anon	public	exchange_rate_audit	TRUNCATE
anon	public	exchange_rate_audit	UPDATE
authenticated	public	exchange_rate_audit	DELETE
authenticated	public	exchange_rate_audit	INSERT
authenticated	public	exchange_rate_audit	REFERENCES
authenticated	public	exchange_rate_audit	SELECT
authenticated	public	exchange_rate_audit	TRIGGER
authenticated	public	exchange_rate_audit	TRUNCATE
authenticated	public	exchange_rate_audit	UPDATE
postgres	public	exchange_rate_audit	DELETE
postgres	public	exchange_rate_audit	INSERT
postgres	public	exchange_rate_audit	REFERENCES
postgres	public	exchange_rate_audit	SELECT
postgres	public	exchange_rate_audit	TRIGGER
postgres	public	exchange_rate_audit	TRUNCATE
postgres	public	exchange_rate_audit	UPDATE
