schema	table	policy	permissive	roles	command	qual	with_check
public	physical_count_items	physical_count_items_via_count	PERMISSIVE	authenticated	ALL	(EXISTS ( SELECT 1\n   FROM physical_counts pc\n  WHERE ((pc.id = physical_count_items.count_id) AND has_store_access(pc.store_id))))	
public	physical_counts	physical_counts_store_isolation	PERMISSIVE	authenticated	ALL	has_store_access(store_id)	
public	pick3_history	pick3_history_admin_manage	PERMISSIVE	authenticated	ALL	is_admin()	is_admin()
public	pick3_history	pick3_history_select_authenticated	PERMISSIVE	authenticated	SELECT	true	
public	pick3_ledger	Users can insert their own ledger entries	PERMISSIVE	public	INSERT		(auth.uid() = user_id)
public	pick3_ledger	Users can view their own ledger	PERMISSIVE	public	SELECT	(auth.uid() = user_id)	
public	pick3_profiles	Users can insert their own pick3 profile	PERMISSIVE	public	INSERT		(auth.uid() = user_id)
public	pick3_profiles	Users can update their own pick3 profile	PERMISSIVE	public	UPDATE	(auth.uid() = user_id)	
public	pick3_profiles	Users can view their own pick3 profile	PERMISSIVE	public	SELECT	(auth.uid() = user_id)	
public	pick3_referrals	Users can create own referrals	PERMISSIVE	public	INSERT		(auth.uid() = referrer_user_id)
public	pick3_referrals	Users can update own referrals	PERMISSIVE	public	UPDATE	((auth.uid() = referrer_user_id) OR (auth.uid() = referred_user_id))	((auth.uid() = referrer_user_id) OR (auth.uid() = referred_user_id))
public	pick3_referrals	Users can view own referrals	PERMISSIVE	public	SELECT	((auth.uid() = referrer_user_id) OR (auth.uid() = referred_user_id))	
public	pick3_simulations	Allow users to manage their own simulations	PERMISSIVE	authenticated	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pick3_subscriptions	Users can insert own subscription	PERMISSIVE	public	INSERT		(auth.uid() = user_id)
public	pick3_subscriptions	Users can update own subscription	PERMISSIVE	public	UPDATE	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pick3_subscriptions	Users can view own subscription	PERMISSIVE	public	SELECT	(auth.uid() = user_id)	
public	pick3_usage	Users can insert own usage	PERMISSIVE	public	INSERT		(auth.uid() = user_id)
public	pick3_usage	Users can update own usage	PERMISSIVE	public	UPDATE	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pick3_usage	Users can view own usage	PERMISSIVE	public	SELECT	(auth.uid() = user_id)	
public	pick3_user_plays	Users can manage their own pick3 plays	PERMISSIVE	authenticated	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	pr2_backup_receipt_items_20260810	pr2_backup_receipt_items_admin_read	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))	
public	pr2_backup_receipts_20260810	pr2_backup_receipts_admin_read	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))	
public	price_change_history	price_change_history_tenant_insert_with_check	PERMISSIVE	authenticated	INSERT		((tenant_id = current_user_tenant_id()) AND (store_id = ANY (current_user_store_ids())))
