function,argcount,live_representation_corrected_detector,was_flagged_by_old_62_finding,classification,callers_seen,action
adjust_sale_payment,12,EXACT,no,C1,-,NONE (represented; old detector failed)
receive_to_warehouse,9,EXACT,no,C1,-,NONE (represented; old detector failed)
reconcile_orphan_user,4,EXACT,no,C1,-,NONE (represented; old detector failed)
reconcile_stock,3,EXACT,no,C1,-,NONE (represented; old detector failed)
record_counted_quantity,5,EXACT,no,C1,-,NONE (represented; old detector failed)
register_reception,7,EXACT,no,C1,-,NONE (represented; old detector failed)
register_stock_movement,12,EXACT,no,C1,-,NONE (represented; old detector failed)
register_supplier_payment,12,EXACT,YES,C1,-,NONE (represented; old detector failed)
reject_transfer,3,EXACT,no,C1,-,NONE (represented; old detector failed)
release_expired_reservations,0,EXACT,no,C1,-,NONE (represented; old detector failed)
reopen_cash_shift,3,EXACT,no,C1,-,NONE (represented; old detector failed)
reset_store_data,3,EXACT,no,C1,-,NONE (represented; old detector failed)
restore_store_backup,4,EXACT,no,C1,-,NONE (represented; old detector failed)
restore_transaction_snapshot,2,EXACT,YES,C1,-,NONE (represented; old detector failed)
reverse_adjustment,3,EXACT,no,C1,-,NONE (represented; old detector failed)
reverse_commissions_on_sale_void,0,EXACT,no,C1,-,NONE (represented; old detector failed)
reverse_devolution,3,EXACT,no,C1,-,NONE (represented; old detector failed)
reverse_inventory_adjustment_v2,3,EXACT,YES,C1,-,NONE (represented; old detector failed)
reverse_production_order,3,EXACT,no,C1,-,NONE (represented; old detector failed)
reverse_receipt,3,EXACT,no,C1,-,NONE (represented; old detector failed)
reverse_receipt_v2,3,EXACT,no,C1,-,NONE (represented; old detector failed)
reverse_transaction_v2,3,EXACT,no,C1,-,NONE (represented; old detector failed)
reverse_transfer,3,EXACT,no,C1,-,NONE (represented; old detector failed)
reverse_vale_salida,3,EXACT,YES,C1,-,NONE (represented; old detector failed)
save_ai_api_key,3,EXACT,YES,C1,-,NONE (represented; old detector failed)
save_product_cost_sheet,6,EXACT,YES,C1,-,NONE (represented; old detector failed)
set_purchase_order_status,4,EXACT,no,C1,-,NONE (represented; old detector failed)
set_received_service_status,4,EXACT,no,C1,-,NONE (represented; old detector failed)
set_transfer_approval_rule,7,EXACT,no,C1,-,NONE (represented; old detector failed)
snapshot_commission_rule,0,EXACT,no,C1,-,NONE (represented; old detector failed)
soft_delete_store,2,EXACT,no,C1,-,NONE (represented; old detector failed)
sync_inventory_from_products,1,EXACT,YES,C1,-,NONE (represented; old detector failed)
sync_product_has_movements,0,EXACT,YES,C1,-,NONE (represented; old detector failed)
sync_product_stock,0,EXACT,no,C1,-,NONE (represented; old detector failed)
update_receipt_item_tasa,5,EXACT,YES,C1,-,NONE (represented; old detector failed)
update_reception_items,3,EXACT,no,C1,-,NONE (represented; old detector failed)
update_transaction_taxes,4,EXACT,no,C1,-,NONE (represented; old detector failed)
upsert_manual_exchange_rate_with_audit,7,EXACT,no,C1,-,NONE (represented; old detector failed)
upsert_store_cost_template,6,EXACT,no,C1,-,NONE (represented; old detector failed)
upsert_usage_aggregate,7,EXACT,no,C1,-,NONE (represented; old detector failed)
void_closed_production_order,3,EXACT,no,C1,-,NONE (represented; old detector failed)
void_inventory_adjustment,2,EXACT,no,C1,-,NONE (represented; old detector failed)
void_pending_reception,4,EXACT,no,C1,-,NONE (represented; old detector failed)
void_received_service_with_reversal,4,EXACT,no,C1,-,NONE (represented; old detector failed)
void_reception_with_reversal,4,EXACT,no,C1,-,NONE (represented; old detector failed)
void_transaction,4,EXACT,no,C1,-,NONE (represented; old detector failed)
withdraw_production_item_deprecated_6arg,6,EXACT,YES,C1,-,NONE (represented; old detector failed)
withdraw_production_item_deprecated_9arg,9,EXACT,YES,C1,-,NONE (represented; old detector failed)
withdraw_production_item_v3,7,EXACT,YES,C1,create_vale_salida,NONE (represented; old detector failed)
