rank,oid,signature,SD,public,anon,auth,svc,mutating,sensitive_tables,dynamic_sql,guard,consumers_src,consumers_bd,trigger,policies,class
49,88184,"public.managed_create_user(p_max_users integer, p_max_stores integer, p_role text, p_full_name text, p_email text, p_creator_id uuid, p_target_user_id uuid, p_store_id uuid, p_memberships jsonb)",SD,False,False,True,True,True,profiles;user_store_memberships,False,has_store_access,,,False,False,C4
50,79083,public.managed_delete_user(p_user_id uuid),SD,False,False,True,True,True,profiles;user_store_memberships,False,is_admin,,,False,False,C4
51,137078,"public.reconcile_stock(p_store_id uuid, p_fix boolean, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_role;is_admin,,,False,False,C4
52,131406,"public.save_ai_api_key(p_provider text, p_api_key text, p_label text)",SD,False,False,True,True,True,ai_api_keys,False,auth.uid,,,False,False,C4
53,137075,"public.set_transfer_approval_rule(p_tenant_id uuid, p_store_id uuid, p_threshold_amount numeric, p_threshold_quantity numeric, p_approver_roles text[], p_is_active boolean, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as;has_store_role,,,False,False,C4
54,131996,"public.upsert_store_cost_template(p_store_id uuid, p_template_id text, p_template_data jsonb, p_modalidad text, p_pdf_format text, p_created_by uuid)",SD,False,False,True,True,True,store_cost_templates,False,has_store_role;is_global_admin,,,False,False,C4
55,132926,public.cleanup_old_aggregates(p_days integer),SD,False,False,True,True,True,usage_aggregates,False,,src/app/api/cron/usage-sync/route.ts,,False,False,C2
56,137076,"public.close_fiscal_period(p_store_id uuid, p_year integer, p_month integer, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/fiscal-close/route.ts,,False,False,C2
57,142325,"public.create_vale_salida(p_store_id uuid, p_items jsonb, p_production_order_id uuid, p_notes text, p_idempotency_key text, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,check_idempotency;has_store_access_as,src/app/api/vale-salida/route.ts,,False,False,C2
58,135446,public.purge_old_reset_snapshots(p_days integer),SD,False,False,True,True,True,store_reset_snapshots,False,,src/app/api/cron/purge-snapshots/route.ts,,False,False,C2
59,137077,"public.receive_to_warehouse(p_store_id uuid, p_product_id uuid, p_quantity numeric, p_unit_cost numeric, p_warehouse_id uuid, p_lot_number text, p_expiration_date date, p_user_id uuid, p_reason text)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/receive-to-warehouse/route.ts,,False,False,C2
60,136655,"public.reverse_transfer(p_transfer_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/reverse/route.ts,,False,False,C2
61,142337,"public.reverse_vale_salida(p_slip_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/vale-salida/[id]/reverse/route.ts,,False,False,C2
62,131945,"public.soft_delete_store(p_store_id uuid, p_deleted_by uuid)",SD,False,False,True,True,True,audit_logs;profiles;stores;user_store_memberships,False,auth.uid,src/app/api/stores/bulk/route.ts;src/app/api/stores/route.ts,bulk_soft_delete_stores,False,False,C2
63,132923,"public.upsert_usage_aggregate(p_bucket_start timestamp with time zone, p_bucket_end timestamp with time zone, p_metric_type text, p_service text, p_endpoint text, p_count integer, p_sum_value double precision)",SD,False,False,True,True,True,usage_aggregates,False,,src/lib/usage-tracker.ts,,False,False,C2
64,137060,"public.adjust_sale_payment(p_transaction_id uuid, p_user_id uuid, p_payment_method text, p_cash_amount numeric, p_transfer_amount numeric, p_zelle_amount numeric, p_sale_currency text, p_sale_exchange_rate numeric, p_items_price_adjustments jsonb, p_discount_type text, p_discount_value numeric, p_reason text)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/transactions/[id]/adjust/route.ts,,False,False,C3
65,142121,"public.adjust_total_amount(p_transaction_id uuid, p_new_total numeric, p_reason text)",SD,False,False,True,False,True,audit_logs,False,is_admin,,protect_transactions_total_amount,False,False,C1B
66,137780,public.audit_backup_restore_protected_change(),SD,False,False,True,True,True,audit_logs,False,auth.uid,,,True,False,C1B
67,52507,public.audit_product_changes(),SD,False,False,True,True,True,audit_logs,False,auth.uid,,,True,False,C1B
68,38096,public.audit_profile_changes(),SD,False,False,True,True,True,audit_logs,False,auth.uid,,,True,False,C1B
69,70045,public.audit_role_changes(),SD,False,False,True,True,True,user_audit_log,False,auth.uid,,,True,False,C1B
70,52509,public.audit_store_changes(),SD,False,False,True,True,True,audit_logs,False,auth.uid,,,True,False,C1B
71,137483,"public.cancel_transfer(p_transfer_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/services/transfer-service.ts,,False,False,C3
72,138633,"public.close_production_order_v2(p_order_id uuid, p_store_id uuid, p_seller_id uuid, p_final_amount numeric, p_final_method text, p_final_currency text, p_exchange_rate numeric, p_output_product_id uuid, p_output_quantity numeric, p_user_id uuid, p_idempotency_key text)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/production-orders/[id]/route.ts,,False,False,C3
73,133208,"public.confirm_transfer(p_transfer_id uuid, p_user_id uuid, p_operation_date timestamp with time zone)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/transfers/[transferId]/confirm/route.ts;src/services/transfer-service.ts,,False,False,C3
74,137570,public.create_pre_restore_snapshot(p_store_id uuid),SD,False,False,True,True,False,,True,,,restore_store_backup,False,False,C1B
75,133213,"public.create_purchase_order(p_store_id uuid, p_supplier_name text, p_supplier_id uuid, p_po_number text, p_notes text, p_expected_date date, p_created_by uuid, p_items jsonb)",SD,False,False,True,True,True,audit_logs,False,has_store_access,src/app/api/purchase-orders/route.ts,,False,False,C3
76,136508,"public.create_sale(p_store_id uuid, p_seller_id uuid, p_total_amount numeric, p_items jsonb, p_subtotal numeric, p_discount_type text, p_discount_value numeric, p_payment_method text, p_tax_amount numeric, p_applied_taxes jsonb, p_transaction_id uuid, p_operation_date timestamp with time zone, p_cash_amount numeric, p_transfer_amount numeric, p_idempotency_key text, p_sale_currency text, p_sale_exchange_rate numeric, p_zelle_amount numeric, p_warehouse_id uuid, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/hooks/api/useTransactions.ts,,False,False,C3
77,137073,"public.create_transfer(p_origin_store_id uuid, p_destination_store_id uuid, p_items jsonb, p_notes text, p_transaction_id uuid, p_operation_date timestamp with time zone, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/sync/batch/route.ts;src/app/api/transfers/route.ts;src/services/transfer-service.ts,,False,False,C3
78,94972,"public.increment_user_usage(p_user_id uuid, p_action_type text, p_limit integer)",SD,False,False,True,True,True,user_usage,False,,src/services/usage-service.ts,,False,False,C3
79,28126,public.log_transaction_changes(),SD,False,False,True,True,True,audit_logs,False,auth.uid,,,True,False,C1B
80,43261,"public.manage_user_memberships(p_user_id uuid, p_memberships jsonb)",SD,False,False,True,True,True,profiles;user_store_memberships,False,is_store_manager,src/hooks/api/useUsers.ts,,False,False,C3
81,45939,public.managed_delete_product(p_product_id uuid),SD,False,False,True,True,True,audit_logs,False,has_store_access,src/hooks/api/useProducts.ts,,False,False,C3
82,45940,"public.managed_toggle_product_active(p_product_id uuid, p_is_active boolean)",SD,False,False,True,True,True,audit_logs,False,has_store_access,src/hooks/api/useProducts.ts,,False,False,C3
83,70049,public.on_auth_user_created(),SD,False,False,True,True,True,profiles;user_audit_log,False,,,,False,False,C1B
84,119652,"public.process_pick3_transaction(p_user_id uuid, p_type text, p_amount bigint, p_reference_draw_id uuid, p_reference_play_id uuid, p_notes text, p_metadata jsonb)",SD,False,False,True,True,True,pick3_ledger;pick3_profiles,False,,src/components/views/terminal/views/pick3/BetEntryDialog.tsx,on_pick3_profile_initial_bankroll,False,False,C3
85,138613,"public.receive_production_output(p_order_id uuid, p_product_id uuid, p_quantity numeric, p_store_id uuid, p_user_id uuid, p_idempotency_key text)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/production-orders/[id]/route.ts,close_production_order_v2;receive_production_output_deprecated_4arg,False,False,C3
86,133215,"public.update_reception_items(p_receipt_id uuid, p_item_updates jsonb, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,has_store_access_as,src/app/api/inventory/receptions/[id]/route.ts,,False,False,C3
87,59867,"public.update_transaction_taxes(p_transaction_id uuid, p_applied_taxes jsonb, p_tax_amount numeric, p_total_amount numeric)",SD,False,False,True,True,True,audit_logs,False,has_role;is_admin,src/components/views/terminal/views/sales/TransactionDetailsModal.tsx,,False,False,C3
88,137569,public.validate_pre_restore_fk_integrity(p_store_id uuid),SD,False,False,True,True,False,,True,,,restore_store_backup,False,False,C1B
89,142921,"public.withdraw_production_item_v3(p_item_id uuid, p_qty numeric, p_store_id uuid, p_user_id uuid, p_idempotency_key text, p_reference_id uuid, p_reference_doc text)",SD,False,False,True,True,True,audit_logs,False,check_idempotency;has_store_access_as,,create_vale_salida,False,False,C1B
90,142629,public.bulk_update_products(_products jsonb),SD,True,True,True,True,True,,False,,,,False,False,C4
91,138145,"public.check_tenant_store_quota(p_tenant_id uuid, p_plan plan_t)",SD,True,True,True,True,False,,False,,,,False,False,C4
92,138375,public.is_tenant_member(p_tenant_id uuid),SD,True,True,True,True,False,,False,,,,False,False,C4
93,138148,"public.validate_tenant_access(p_user_id uuid, p_store_id uuid)",SD,True,True,True,True,False,,False,,,,False,False,C4
94,138306,"public.get_purchases_book(p_store_id uuid, p_year integer, p_month integer)",SD,True,True,True,True,False,,False,has_store_access;is_admin,src/app/api/fiscal/purchases-book/route.ts,,False,False,C2
95,138305,"public.get_sales_book(p_store_id uuid, p_year integer, p_month integer)",SD,True,True,True,True,False,,False,has_store_access;is_admin,src/app/api/fiscal/sales-book/route.ts,,False,False,C2
96,138307,"public.get_tax_report(p_store_id uuid, p_year integer, p_month integer)",SD,True,True,True,True,False,,False,has_store_access;is_admin,src/app/api/fiscal/tax-report/route.ts,,False,False,C2
97,138146,"public.get_tenant_cash_report(p_tenant_id uuid, p_start_date timestamp with time zone, p_end_date timestamp with time zone)",SD,True,True,True,True,False,,False,is_admin,src/app/api/tenants/[id]/reports/cash/route.ts,,False,False,C2
98,138147,"public.get_tenant_sales_summary(p_tenant_id uuid, p_days integer)",SD,True,True,True,True,False,,False,is_admin,src/app/api/tenants/[id]/reports/sales/route.ts,,False,False,C2
99,138111,"public.get_user_audit_history(p_user_id uuid, p_limit integer, p_offset integer)",SD,True,True,True,True,False,,False,is_admin,src/app/api/users/[id]/audit-history/route.ts,,False,False,C2
100,138783,public.calculate_receipt_total_cup(p_receipt_id uuid),SD,True,True,True,True,False,,False,,,confirm_pending_reception;update_receipt_item_tasa;update_reception_items,False,False,C1B
101,138372,public.current_user_tenant_id(),SD,True,True,True,True,False,,False,auth.uid,,current_user_store_ids;is_admin_with_access;is_tenant_member,False,True,C1B
102,142220,public.enforce_ledger_append_only(),SD,True,True,True,True,False,,False,,,,True,False,C1B
103,142600,public.ensure_product_barcode(),SD,True,True,True,True,False,,False,,,,True,False,C1B
104,142598,public.generate_internal_barcode(),SD,True,True,True,True,False,,False,,,ensure_product_barcode,False,False,C1B
105,142661,"public.get_paginated_products_v2(p_limit integer, p_offset integer, p_store_id uuid, p_search_term text, p_category text, p_sort_key text, p_sort_dir text, p_stock_filter text, p_active_filter text)",SD,True,True,True,True,False,,False,has_store_access;is_admin,src/hooks/api/useCatalogProducts.ts,,False,False,C1
106,142663,"public.get_products_for_pos(p_store_id uuid, p_search_term text, p_category text, p_limit integer, p_offset integer)",SD,True,True,True,True,False,,False,has_store_access;is_admin,src/app/api/inventory/products/route.ts;src/components/views/terminal/views/ipv/CatalogTable.tsx;src,,False,False,C1
107,142035,"public.get_transactions(p_store_id uuid, p_search_term text, p_date_from timestamp without time zone, p_date_to timestamp without time zone, p_limit integer)",SD,True,True,True,True,False,,False,has_store_access;is_admin,src/hooks/api/useTransactions.ts;src/lib/reports/data-fetcher.ts,,False,False,C1
108,142421,"public.has_management_access_as(p_user_id uuid, p_store_id uuid)",SD,True,True,True,True,False,,False,,,reset_store_data,False,False,C1B
109,142475,"public.has_store_role(p_user_id uuid, p_store_id uuid, p_roles text[])",SD,True,True,True,True,False,,False,auth.uid,,bulk_assign_memberships;get_or_create_product_cost_sheet;managed_revoke_membership;managed_update_me,False,True,C1B
110,138149,"public.has_store_role_as(p_user_id uuid, p_store_id uuid, p_roles text[])",SD,True,True,True,True,False,,False,,,create_sale_v2;reopen_cash_shift,False,False,C1B
111,138374,public.is_admin_with_access(p_store_id uuid),SD,True,True,True,True,False,,False,has_store_access;is_admin,,,False,True,C1B
112,138589,public.prevent_received_service_edit(),SD,True,True,True,True,False,,False,,,,True,False,C1B
113,138690,"public.register_idempotency(p_key text, p_operation text, p_record_id uuid, p_param_hash text, p_result jsonb)",SD,True,True,True,True,True,,False,check_idempotency,,create_production_order_v2;create_vale_salida;withdraw_production_item_deprecated_6arg;withdraw_prod,False,False,C1B
114,138292,"public.validate_operation_date(p_new_date timestamp with time zone, p_store_id uuid)",SD,True,True,True,True,False,,False,,,create_received_service_v2;create_sale;create_sale_v2;perform_inventory_adjustment;prevent_received_,False,False,C1B
115,136803,"public.apply_physical_count(p_count_id uuid, p_user_id uuid, p_apply_zero_diffs boolean)",SD,False,False,True,True,True,,False,has_store_access_as,,,False,False,C4
116,136851,"public.approve_transfer(p_transfer_id uuid, p_user_id uuid)",SD,False,False,True,True,True,,False,has_store_access_as,,,False,False,C4
117,70047,"public.can_create_user_with_role(p_creator_id uuid, p_role_name text)",SD,False,False,True,True,False,,False,,,,False,False,C4
118,28123,public.can_void_receipt(p_receipt_id uuid),SD,False,False,True,True,False,,False,,,,False,False,C4
119,34760,public.cancel_reception(p_reception_id uuid),SD,False,False,True,True,True,,False,auth.uid,,,False,False,C4
120,136719,"public.compensate_inventory_error(p_store_id uuid, p_original_movement_id uuid, p_reason text, p_user_id uuid)",SD,False,False,True,True,False,,False,has_store_access_as,,,False,False,C4
121,136801,"public.create_physical_count(p_store_id uuid, p_user_id uuid, p_notes text)",SD,False,False,True,True,True,,False,has_store_access_as,,,False,False,C4
122,131395,"public.deduct_stock(p_store_id uuid, p_product_id uuid, p_quantity numeric)",SD,False,False,True,True,False,,False,auth.uid,,,False,False,C4
123,136259,"public.ensure_fiscal_period(p_store_id uuid, p_year integer, p_month integer)",SD,False,False,True,True,True,,False,,,,False,False,C4
124,131041,public.fn_log_system_health(p_payload jsonb),SD,False,False,True,True,True,,False,,,,False,False,C4
125,26950,"public.fn_process_receipt(p_items jsonb, p_user_id uuid, p_reference text)",SD,False,False,True,True,True,,False,auth.uid,,,False,False,C4
126,130964,"public.fn_process_receipt(p_items jsonb, p_user_id uuid, p_store_id uuid, p_reference text)",SD,False,False,True,True,True,,False,auth.uid,,,False,False,C4
127,131405,"public.get_ai_api_key(p_user_id uuid, p_provider text)",SD,False,False,True,True,False,,False,is_admin,,,False,False,C4
128,28149,"public.get_inventory_report(p_from_date timestamp with time zone, p_to_date timestamp with time zone)",SD,False,False,True,True,False,,False,,,,False,False,C4
129,28171,"public.get_inventory_report(p_store_id uuid, p_from_date timestamp with time zone, p_to_date timestamp with time zone)",SD,False,False,True,True,False,,False,,,,False,False,C4
130,28152,public.get_inventory_with_costs(p_store_id uuid),SD,False,False,True,True,False,,False,,,,False,False,C4
131,23014,"public.get_my_sales(p_search_query text, p_status text, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_min_amount numeric, p_max_amount numeric, p_sort_column text, p_sort_direction text, p_limit integer, p_offset integer)",SD,False,False,True,True,False,,False,auth.uid,,,False,False,C4
132,28159,"public.get_my_sales(p_search_query text, p_status text, p_payment_method text, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_min_amount numeric, p_max_amount numeric, p_sort_column text, p_sort_direction text, p_limit integer, p_offset integer)",SD,False,False,True,True,False,,False,auth.uid,,,False,False,C4
133,28160,public.get_my_sales_summary(p_period text),SD,False,False,True,True,False,,False,auth.uid,,,False,False,C4
134,132041,"public.get_or_create_product_cost_sheet(p_product_id uuid, p_store_id uuid, p_template_id text, p_modalidad text, p_pdf_format text)",SD,False,False,True,True,False,,False,has_store_role;is_global_admin,,,False,False,C4
135,28163,"public.get_product_stock_ledger(p_product_id uuid, p_store_id uuid)",SD,False,False,True,True,False,,False,,,,False,False,C4
136,24207,public.get_product_variants_counts(),SD,False,False,True,True,False,,False,,,,False,False,C4
137,59842,"public.get_transactions_with_profit(p_store_id uuid, p_search_term text, p_date_from timestamp without time zone, p_date_to timestamp without time zone, p_limit integer)",SD,False,False,True,True,False,,False,has_store_access;is_admin,,,False,False,C4
138,132940,public.get_usage_forecast(),SD,False,False,True,True,False,,False,,,,False,False,C4
139,21751,public.get_user_role(),SD,False,False,True,True,False,,False,auth.uid,,,False,False,C4
140,76874,public.is_admin_check(p_user_id uuid),SD,False,False,True,True,False,,False,,,,False,False,C4
141,47064,public.is_manager_of_store(p_store_id uuid),SD,False,False,True,True,False,,False,auth.uid,,,False,False,C4
142,75761,"public.is_role_not_changed(p_user_id uuid, p_new_role user_role, p_new_role_id uuid)",SD,False,False,True,True,False,,False,,,,False,False,C4
