REM-INV-5 — 23 GATE R: scan final de secretos (estado final del repo)

Alcance: 4745 archivos tracked (incluye docs/, scripts/, .github/, supabase/, src/,
audit-evidence/REM-INV-5/ con las nuevas evidencias, la migración nueva, el snapshot
del contrato y el test estático).

tracked files scanned: 4745
pattern hits: 174  |  REAL_SECRET: 0
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260904-w9-b8/scripts/b8_http_probes.sh:15 -> Authorization: Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260904-w9-b8/scripts/b8_http_probes.sh:23 -> Authorization: Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260904-w9-b8/scripts/b8_http_probes.sh:31 -> Authorization: Bearer
  [FALSE_POSITIVE                  ] ACCESS_TOKEN           audit-evidence/20260904-w9-b8/scripts/b8_query.js:26 -> ACCESS_TOKEN = env.SUPABASE_ACCESS_TOKEN
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] ACCESS_TOKEN           audit-evidence/20260905-w9-b10b-obs1/scripts/obs1_query.js:4 -> ACCESS_TOKEN=...
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] SUPABASE_ACCESS_TOKEN  audit-evidence/20260905-w9-b10b-obs1/scripts/obs1_query.js:4 -> SUPABASE_ACCESS_TOKEN=...
  [FALSE_POSITIVE                  ] TOKEN=                 audit-evidence/20260905-w9-b10b-obs1/scripts/obs1_query.js:12 -> TOKEN = process.env.SUPABASE_ACCESS_TOKEN
  [FALSE_POSITIVE                  ] TOKEN=                 audit-evidence/20260905-w9-b10b/scripts/b10b_query.js:13 -> TOKEN = process.env.SUPABASE_ACCESS_TOKEN
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] ACCESS_TOKEN           audit-evidence/20260906-w9-b10b-obs2-r1/scripts/r1_concurrency_test.sh:7 -> ACCESS_TOKEN=$(grep
  [FALSE_POSITIVE                  ] SUPABASE_ACCESS_TOKEN  audit-evidence/20260906-w9-b10b-obs2-r1/scripts/r1_concurrency_test.sh:7 -> SUPABASE_ACCESS_TOKEN=$(grep
  [FALSE_POSITIVE                  ] TOKEN=                 audit-evidence/20260906-w9-b10b-obs2-r2/scripts/r2_race.js:20 -> TOKEN = process.env.SUPABASE_ACCESS_TOKEN
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] ACCESS_TOKEN           audit-evidence/20260906-w9-b10b-obs2/scripts/obs2_query.js:4 -> ACCESS_TOKEN=...
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] SUPABASE_ACCESS_TOKEN  audit-evidence/20260906-w9-b10b-obs2/scripts/obs2_query.js:4 -> SUPABASE_ACCESS_TOKEN=...
  [FALSE_POSITIVE                  ] TOKEN=                 audit-evidence/20260906-w9-b10b-obs2/scripts/obs2_query.js:12 -> TOKEN = process.env.SUPABASE_ACCESS_TOKEN
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260908-rem-f4-03/tests/f4_03_tests.mjs:45 -> Authorization: `Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260908-rem-f4-03/tests/f4_03_tests.mjs:124 -> TOKEN = await
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260908-rem-f4-04/tests/f4_04_tests.mjs:43 -> Authorization: `Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260908-rem-f4-04/tests/f4_04_tests.mjs:121 -> TOKEN = await
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260908-rem-f4-04/tests/f4_04_tests.mjs:197 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/03_PRE_REPRO_HTTP.txt:16 -> Authorization: Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/p5_pre_http_repro.mjs:29 -> Authorization: `Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260909-rem-f4-06b/raw/p5_pre_http_repro.mjs:48 -> TOKEN = await
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/p5_pre_http_repro.mjs:56 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/p5_pre_http_repro.mjs:65 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] ACCESS_TOKEN           audit-evidence/20260909-rem-f4-06b/raw/run_sql.cjs:17 -> ACCESS_TOKEN = env.SUPABASE_ACCESS_TOKEN
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/run_sql.cjs:29 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/t1_functional.mjs:32 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/t2_atomicity.mjs:32 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/t3_idem_concurrency.mjs:33 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/t4_security.mjs:31 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] TOKEN=                 audit-evidence/20260909-rem-f4-06b/raw/ztx_snapshot.mjs:16 -> TOKEN = env.SUPABASE_ACCESS_TOKEN;
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260909-rem-f4-06b/raw/ztx_snapshot.mjs:25 -> Authorization: `Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260911-rem-sec-1/24-git.txt:23 -> TOKEN: efímero,
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] ACCESS_TOKEN           audit-evidence/20260912-rem-inv-1/18-integrity/reconciler-sql/inv1-q.sh.template:6 -> ACCESS_TOKEN='
  [FALSE_POSITIVE                  ] SUPABASE_ACCESS_TOKEN  audit-evidence/20260912-rem-inv-1/18-integrity/reconciler-sql/inv1-q.sh.template:6 -> SUPABASE_ACCESS_TOKEN='
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260912-rem-inv-1/18-integrity/reconciler-sql/inv1-q.sh.template:6 -> TOKEN=$(grep
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260912-rem-inv-1/18-integrity/reconciler-sql/inv1-q.sh.template:10 -> Authorization: Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] ACCESS_TOKEN           audit-evidence/REM-INV-2/17-security-scan.md:7 -> ACCESS_TOKEN=`,
  [FALSE_POSITIVE                  ] SUPABASE_ACCESS_TOKEN  audit-evidence/REM-INV-2/17-security-scan.md:7 -> SUPABASE_ACCESS_TOKEN=`,
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/REM-INV-4/02-live-function-definitions.sql:13960 -> TOKEN: Mark
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] sbp_                   audit-evidence/REM-INV-4A/17-secret-scan.txt:4 -> sbp_pat
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/REM-INV-4A/raw/all-function-bodies.json:1 -> TOKEN: Mark
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/REM-INV-4B/06-api-browser-census.txt:5 -> Authorization: Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] ACCESS_TOKEN           audit-evidence/REM-INV-4B/13-secret-scan.txt:3 -> ACCESS_TOKEN= /
  [FALSE_POSITIVE                  ] SUPABASE_ACCESS_TOKEN  audit-evidence/REM-INV-4B/13-secret-scan.txt:3 -> SUPABASE_ACCESS_TOKEN= /
  [FALSE_POSITIVE                  ] ACCESS_TOKEN           audit-evidence/REM-INV-4B/13-secret-scan.txt:21 -> ACCESS_TOKEN=/SERVICE_ROLE_KEY=/NEXTAUTH_SECRET=
  [FALSE_POSITIVE                  ] SUPABASE_ACCESS_TOKEN  audit-evidence/REM-INV-4B/13-secret-scan.txt:21 -> SUPABASE_ACCESS_TOKEN=/SERVICE_ROLE_KEY=/NEXTAUTH_SECRET=
  [FALSE_POSITIVE                  ] Bearer                 e2e/auth.spec.ts:54 -> Bearer invalid-token-1234
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] Authorization:         e2e/workers-create.spec.ts:16 -> Authorization: 401
  [FALSE_POSITIVE                  ] ACCESS_TOKEN           ecosystem.config.js:60 -> ACCESS_TOKEN: process.env.SUPABASE_ACCESS_TOKEN,
  [FALSE_POSITIVE                  ] SUPABASE_ACCESS_TOKEN  ecosystem.config.js:60 -> SUPABASE_ACCESS_TOKEN: process.env.SUPABASE_ACCESS_TOKEN,
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] ACCESS_TOKEN           scripts/apply-sql-migration.js:10 -> ACCESS_TOKEN=sbp_...
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] SUPABASE_ACCESS_TOKEN  scripts/apply-sql-migration.js:10 -> SUPABASE_ACCESS_TOKEN=sbp_...
  [FALSE_POSITIVE                  ] ACCESS_TOKEN           scripts/apply-sql-migration.js:17 -> ACCESS_TOKEN = process.env.SUPABASE_ACCESS_TOKEN
  [FALSE_POSITIVE                  ] Authorization:         scripts/apply_migration_20260824000002.mjs:48 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] ACCESS_TOKEN           scripts/backfill_vitallcons_payments.py:27 -> ACCESS_TOKEN = os.environ.get("SUPABASE_ACCESS_TOKEN",
  [FALSE_POSITIVE                  ] Authorization:         scripts/debug_publish_endpoint.mjs:24 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/debug_publish_endpoint.mjs:44 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/debug_publish_endpoint.mjs:68 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] TOKEN=                 scripts/e2e_test.py:19 -> TOKEN = r.json()["access_token"]
  [FALSE_POSITIVE                  ] ACCESS_TOKEN           scripts/security-contract-test.cjs:31 -> ACCESS_TOKEN = process.env.SUPABASE_ACCESS_TOKEN
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_interval_minutes.mjs:65 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_interval_minutes.mjs:74 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_interval_minutes.mjs:259 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_vitrina_fidelity.mjs:87 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_vitrina_fidelity.mjs:96 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_vitrina_fidelity.mjs:109 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_vitrina_fidelity.mjs:117 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_vitrina_fidelity.mjs:321 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_vitrina_fidelity.mjs:409 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         scripts/test_telegram_vitrina_fidelity.mjs:416 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/__tests__/integration/auth-fail-closed.test.ts:52 -> Authorization: 'Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/__tests__/integration/auth-fail-closed.test.ts:80 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/__tests__/integration/auth-fail-closed.test.ts:99 -> Authorization: 'Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/__tests__/integration/auth-fail-closed.test.ts:113 -> Authorization: 'Bearer
  [FALSE_POSITIVE                  ] Bearer                 src/__tests__/integration/auth-fail-closed.test.ts:113 -> Bearer dev-token-bypass
  [FALSE_POSITIVE                  ] Authorization:         src/__tests__/integration/auth-fail-closed.test.ts:135 -> Authorization: 'Bearer
  [FALSE_POSITIVE                  ] Bearer                 src/__tests__/integration/auth-fail-closed.test.ts:135 -> Bearer dev-token-bypass
  [SAFE_TEST_PLACEHOLDER           ] Bearer                 src/__tests__/services/store-api-client.test.ts:36 -> Bearer test-access-token-123
  [FALSE_POSITIVE                  ] Authorization:         src/app/api/catalog/bulk-import/route.ts:101 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/app/api/cron/exchange-rates/route.ts:74 -> Authorization: Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/app/api/cron/usage-sync/route.ts:91 -> Authorization: `Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] Authorization:         src/app/api/exchange-rates/bulk-upload/route.ts:192 -> Authorization: admin
  [FALSE_POSITIVE                  ] Authorization:         src/app/api/users/[id]/memberships/route.ts:46 -> Authorization: self-access
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] Authorization:         src/app/api/users/route.ts:61 -> Authorization: only
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/academy/AcademyView.tsx:217 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/accounts_payable/AccountsPayableView.tsx:72 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/accounts_receivable/AccountsReceivableView.tsx:99 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/cost_sheet/MassiveGenerator.utils.ts:334 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/exchange_intelligence/ExchangeIntelligenceView.tsx:132 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/exchange_intelligence/ExchangeIntelligenceView.tsx:268 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/exchange_intelligence/ExchangeIntelligenceView.tsx:320 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/exchange_intelligence/ExchangeIntelligenceView.tsx:373 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/exchange_intelligence/ExchangeIntelligenceView.tsx:414 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/exchange_intelligence/ExchangeIntelligenceView.tsx:459 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/ofertas/OfertaFormPanel.tsx:364 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/pos/POSCartItem.tsx:581 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/pos/POSCartItem.tsx:878 -> Authorization: `Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] Authorization:         src/components/views/terminal/views/pos/useDiscountAuthorization.ts:49 -> Authorization: ()
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] Authorization:         src/components/views/terminal/views/pos/useDiscountAuthorization.ts:51 -> Authorization: ()
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/pos/useValeSalidaCheckout.ts:113 -> Authorization: Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/pos/useValeSalidaCheckout.ts:120 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:75 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:550 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:605 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:648 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:669 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:687 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:709 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:731 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:759 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:775 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:879 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/production_orders/ProductionOrdersView.tsx:1533 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/sales/SalesSummaryTab.tsx:40 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/stores/backup/BackupModal.tsx:123 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/stores/backup/RestoreBackupModal.tsx:172 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:167 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:209 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:234 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:262 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:320 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:362 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:391 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:413 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConfigView.tsx:433 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConversationsView.tsx:113 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramConversationsView.tsx:187 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramDashboardView.tsx:38 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramDashboardView.tsx:59 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramGroupView.tsx:32 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramInvitationsView.tsx:52 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramInvitationsView.tsx:77 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramInvitationsView.tsx:112 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/telegram/TelegramInvitationsView.tsx:135 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:77 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:105 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:200 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:225 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:260 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:280 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:334 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:369 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/wallet/WalletView.tsx:396 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/whatsapp/WhatsAppAutoPublishSection.tsx:138 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/whatsapp/WhatsAppAutoPublishSection.tsx:162 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/whatsapp/WhatsAppAutoPublishSection.tsx:190 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/whatsapp/WhatsAppAutoPublishSection.tsx:241 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/whatsapp/WhatsAppAutoPublishSection.tsx:269 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/workers/ExchangeRatesModal.tsx:41 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/components/views/terminal/views/workers/ExchangeRatesModal.tsx:86 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/hooks/api/useOfertas.ts:33 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/hooks/api/useOfertas.ts:169 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/hooks/api/useProductCostSheet.ts:77 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/lib/ai/vercel-provider.ts:11 -> Authorization: Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/lib/api-fetch.ts:24 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/lib/exchange-capture.ts:114 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/lib/rpc-validator.ts:18 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/lib/rpc-validator.ts:61 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/lib/rpc-validator.ts:94 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/lib/supabaseClient.ts:38 -> Authorization: `Bearer
  [FALSE_POSITIVE                  ] Authorization:         src/services/rss-service.ts:12 -> Authorization: `Bearer

REAL SECRET DETECTED = NO


Clasificación del census completo (174 hits):
  REAL_SECRET                     : 0
  SAFE_TEST_PLACEHOLDER           : tokens de prueba (invalid-token-1234, dev-token-bypass,
                                    YOUR_ACCESS_TOKEN_HERE, test keys de workflows)
  TRUNCATED_DOCUMENTARY_FRAGMENT  : sbp_ fragmentos históricos en audit-evidence/
                                    (evidencia histórica — NO se altera) e
                                    ilustraciones de formato (apply-sql-migration.js)
  FALSE_POSITIVE                  : lecturas env.SUPABASE_ACCESS_TOKEN, template
                                    literals Authorization: Bearer ${...}, nombres
                                    de variables/patrones en código del scanner
