policy	git_source	live_state	classification	detail
bank_statement_items.bsi_insert	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
bank_statement_items.bsi_select	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
bank_statement_items.bsi_update	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
bank_statements.bs_delete	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
bank_statements.bs_insert	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
bank_statements.bs_select	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
bank_statements.bs_update	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
bulk_confirmation_tokens.bulk_tokens_owner_read	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
bulk_ops_log.bulk_ops_log_owner	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	ALL
bulk_ops_log.bulk_ops_log_tenant_select	git:20260807000005_v2_21_0_rls_tenant_policies.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
business_events.System can insert events	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
cash_closures.Cash closures unified	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
cash_closures.cash_closures_delete_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
cash_closures.cash_closures_insert_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
cash_closures.cash_closures_select_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
cash_closures.cash_closures_tenant_insert_with_check	git:20260827000005_audit_f3p001_rls_write_isolation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
cash_closures.cash_closures_update_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
cash_movements.Cash movements access	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
cash_movements.Cash movements insert	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
cash_movements.cash_movements_insert	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
cash_movements.cash_movements_select	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
cash_register_sessions.Cash sessions unified	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	ALL
cash_sessions.cash_sessions_insert	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
cash_sessions.cash_sessions_select	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
cash_sessions.cash_sessions_update	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
categories.Categories unified	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	ALL
categories.categories_store_access	git:20260726000033_v2_12_1_categories_table.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
commission_payments.commission_payments_delete	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
commission_payments.commission_payments_insert	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
commission_payments.commission_payments_select	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
commission_payments.commission_payments_service_role_all	git:20260626000002_workers_commissions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
commission_payments.commission_payments_tenant_select	git:20260807000005_v2_21_0_rls_tenant_policies.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
commission_payments.commission_payments_update	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
commission_reception_links.commission_reception_links_delete_admin	git:20260629000003_fix_rls_commission_reception_links.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
commission_reception_links.commission_reception_links_insert_admin	git:20260629000003_fix_rls_commission_reception_links.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
commission_reception_links.commission_reception_links_select_authenticated	git:20260629000003_fix_rls_commission_reception_links.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
commission_rule_products.commission_rule_products_delete	git:20260715000001_commission_advanced_rules.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
commission_rule_products.commission_rule_products_insert	git:20260715000001_commission_advanced_rules.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
commission_rule_products.commission_rule_products_select	git:20260715000001_commission_advanced_rules.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
commission_rule_products.commission_rule_products_service_role_all	git:20260715000001_commission_advanced_rules.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
commission_rule_products.commission_rule_products_update	git:20260715000008_commission_rule_products_per_product_config.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
commission_rule_versions.commission_rule_versions_select	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
commission_rule_versions.commission_rule_versions_service_role_all	git:20260626000002_workers_commissions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
commission_rules.commission_rules_delete	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
commission_rules.commission_rules_insert	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
commission_rules.commission_rules_select	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
commission_rules.commission_rules_service_role_all	git:20260626000002_workers_commissions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
commission_rules.commission_rules_tenant_select	git:20260807000005_v2_21_0_rls_tenant_policies.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
commission_rules.commission_rules_update	git:20260626000003_workers_rls_admin_bypass.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
cost_sheet_templates.Templates delete	git:20260325_add_store_id_to_templates.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
cost_sheet_templates.Templates insert	git:20260325_add_store_id_to_templates.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
cost_sheet_templates.Templates update	git:20260325_add_store_id_to_templates.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
cost_sheet_templates.Templates visibility	git:20260325_add_store_id_to_templates.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
cost_sheets.cost_sheets_owner_manage	git:20260326_multi_tenant_hardening.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
cost_sheets.cost_sheets_selective_read	git:20260326_multi_tenant_hardening.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
customers.customers_delete_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
customers.customers_insert_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
customers.customers_select_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
customers.customers_update_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
devolution_items.devolution_items_insert	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
devolution_items.devolution_items_select	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
devolutions.devolutions_insert_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
devolutions.devolutions_select_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
devolutions.devolutions_tenant_insert_with_check	git:20260827000005_audit_f3p001_rls_write_isolation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
devolutions.devolutions_update_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
document_sequences.document_sequences_select_admin	git:20260810000001_v2_19_1_document_sequences.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
exchange_rates.exchange_rates_insert	git:20260624000001_inteligencia_cambiaria.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
exchange_rates.exchange_rates_read	git:20260624000001_inteligencia_cambiaria.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
exchange_rates.exchange_rates_update	git:20260624000001_inteligencia_cambiaria.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
fiscal_closings.fiscal_closings_insert	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
fiscal_closings.fiscal_closings_select	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
fiscal_closings.fiscal_closings_update	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
idempotency_registry.idem_reg_service_role_all	git:20260810000012_v2_26_hotfix3_idempotency_registry.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
inventory.inventory_deny_delete	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	DELETE
inventory.inventory_deny_insert	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
inventory.inventory_deny_update	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	UPDATE
inventory.inventory_insert_auth	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
inventory.inventory_tenant_select	git:20260807000005_v2_21_0_rls_tenant_policies.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
inventory_adjustment_items.Allow related access for items	git:20240801_create_inventory_adjustments.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
inventory_adjustments.Allow all access to own store data	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
inventory_adjustments.inventory_adjustments_delete_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
inventory_adjustments.inventory_adjustments_insert_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
inventory_adjustments.inventory_adjustments_select_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
inventory_adjustments.inventory_adjustments_tenant_insert_with_check	git:20260827000005_audit_f3p001_rls_write_isolation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
inventory_adjustments.inventory_adjustments_update_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
inventory_batches.Inventory batches access	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
inventory_movements.inventory_movements_selective_read	git:20260326_multi_tenant_hardening.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
inventory_reservations.inv_res_access	git:20260802000002_v2_12_42_transfer_remediation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
inventory_snapshots.Inventory snapshots access	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
issue_slip_items.issue_slip_items_store_isolation	git:20260817000001_vale_salida.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
issue_slips.issue_slips_store_isolation	git:20260817000001_vale_salida.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
kardex_entries.kardex_entries_tenant_insert_with_check	git:20260827000005_audit_f3p001_rls_write_isolation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
kardex_entries.kardex_insert_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
kardex_entries.kardex_select_own_store	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
learning_cards.learning_cards_delete	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	DELETE
learning_cards.learning_cards_insert	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
learning_cards.learning_cards_select_authenticated	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
learning_cards.learning_cards_update	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	UPDATE
legal_models.Allow read access to all authenticated users for models	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
legal_resolutions.Allow read access to all authenticated users for resolutions	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
ofertas.Admin/manager can delete ofertas	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	DELETE
ofertas.Admin/manager/encargado can insert ofertas	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
ofertas.Admin/manager/encargado can update ofertas	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	UPDATE
ofertas.ofertas_select_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
ofertas.Users can view ofertas from their stores	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
orphaned_users_log.orphaned_users_log_insert_admin	git:20260805000003_v2_14_3_orphaned_users_log.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
orphaned_users_log.orphaned_users_log_select_admin	git:20260805000003_v2_14_3_orphaned_users_log.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
orphaned_users_log.orphaned_users_log_update_admin	git:20260805000003_v2_14_3_orphaned_users_log.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
payment_transactions.payment_transactions_delete_own_store	git:20260713000001_payment_transactions_rls.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
payment_transactions.payment_transactions_insert_own_store	git:20260713000001_payment_transactions_rls.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
payment_transactions.payment_transactions_select_own_store	git:20260713000001_payment_transactions_rls.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
payment_transactions.payment_transactions_tenant_insert_with_check	git:20260827000005_audit_f3p001_rls_write_isolation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
payment_transactions.payment_transactions_update_own_store	git:20260713000001_payment_transactions_rls.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
physical_count_items.physical_count_items_via_count	git:20260726000020_v2_9_h6_physical_count.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
physical_counts.physical_counts_store_isolation	git:20260726000020_v2_9_h6_physical_count.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
pick3_history.pick3_history_admin_manage	git:20260326_multi_tenant_hardening.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
pick3_history.pick3_history_select_authenticated	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
pick3_ledger.Users can insert their own ledger entries	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
pick3_ledger.Users can view their own ledger	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
pick3_profiles.Users can insert their own pick3 profile	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
pick3_profiles.Users can update their own pick3 profile	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	UPDATE
pick3_profiles.Users can view their own pick3 profile	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
pick3_referrals.Users can create own referrals	git:20260705000001_pick3_referrals.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
pick3_referrals.Users can update own referrals	git:20260705000001_pick3_referrals.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
pick3_referrals.Users can view own referrals	git:20260705000001_pick3_referrals.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
pick3_simulations.Allow users to manage their own simulations	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	ALL
pick3_subscriptions.Users can insert own subscription	git:20260705000000_pick3_subscriptions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
pick3_subscriptions.Users can update own subscription	git:20260705000000_pick3_subscriptions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
pick3_subscriptions.Users can view own subscription	git:20260705000000_pick3_subscriptions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
pick3_usage.Users can insert own usage	git:20260705000000_pick3_subscriptions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
pick3_usage.Users can update own usage	git:20260705000000_pick3_subscriptions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
pick3_usage.Users can view own usage	git:20260705000000_pick3_subscriptions.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
pick3_user_plays.Users can manage their own pick3 plays	git:20260326_multi_tenant_hardening.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
pr2_backup_receipt_items_20260810.pr2_backup_receipt_items_admin_read	git:20260810000050_pr4_5_security_fixes.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
pr2_backup_receipts_20260810.pr2_backup_receipts_admin_read	git:20260810000050_pr4_5_security_fixes.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
price_change_history.price_change_history_tenant_insert_with_check	git:20260827000005_audit_f3p001_rls_write_isolation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
price_change_history.price_change_history_tenant_select	git:20260807000005_v2_21_0_rls_tenant_policies.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
price_commit_log.price_commit_log_insert_admin	git:20260629000001_costeo_dinamico_infraestructura.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
price_commit_log.price_commit_log_select_authenticated	git:20260629000001_costeo_dinamico_infraestructura.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
price_commit_log.price_commit_log_update_admin	git:20260629000001_costeo_dinamico_infraestructura.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
product_cost_sheets.pcs_insert_auth	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
product_cost_sheets.product_cost_sheets_delete_admin	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
product_cost_sheets.product_cost_sheets_insert_roles	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
product_cost_sheets.product_cost_sheets_select_authenticated	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
product_cost_sheets.product_cost_sheets_select_rls	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
product_cost_sheets.product_cost_sheets_update_roles	git:20260619000006_rls_policies_versioned.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
product_lots.lots_delete	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
product_lots.lots_insert	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
product_lots.lots_select	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
product_lots.lots_update	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
product_variants.Variantes públicas - lectura	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
product_variants.Variants delete - member access	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	DELETE
product_variants.Variants insert - member access	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
product_variants.Variants store isolation	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
product_variants.Variants update - member access	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	UPDATE
production_order_items.poi_delete_has_store_access	git:20260802000001_v2_12_41_fase0_remediacion.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
production_order_items.poi_insert_has_store_access	git:20260802000001_v2_12_41_fase0_remediacion.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
production_order_items.poi_select_has_store_access	git:20260802000001_v2_12_41_fase0_remediacion.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
production_order_items.poi_update_has_store_access	git:20260802000001_v2_12_41_fase0_remediacion.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=UPDATE live_cmd=UPDATE
