identity	git_final_source	live_ref	body	security	search_path	signature	body_note	overall	git_final_body_md5	live_prosrc_md5
public.log_transaction_changes()	git:20240325000000_harden_audit_triggers.sql	oid:28126	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	3116c725681da8aa606cf88138f54b6b	8b1e75fc728c9cbb3da7db0f17ca6d56
public.get_inventory_report(p_from_date timestamp with time zone, p_to_date timestamp with time zone)	NOT_IN_GIT	oid:28149	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_inventory_with_costs(p_store_id uuid)	NOT_IN_GIT	oid:28152	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_my_sales(p_search_query text, p_status text, p_payment_method text, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_min_amount numeric, p_max_amount numeric, p_sort_column text, p_sort_direction text, p_limit integer, p_offset integer)	NOT_IN_GIT	oid:28159	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_my_sales_summary(p_period text)	NOT_IN_GIT	oid:28160	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_product_stock_ledger(p_product_id uuid, p_store_id uuid)	NOT_IN_GIT	oid:28163	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_inventory_report(p_store_id uuid, p_from_date timestamp with time zone, p_to_date timestamp with time zone)	NOT_IN_GIT	oid:28171	-	-	-	-	-	ORPHAN_LIVE	-	-
public.sync_products_stock_current()	git:20260802000008_v2_12_47_restore_rpc_execute.sql	oid:33484	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	5cac0e005b65713a902ced43e2e64060	5cac0e005b65713a902ced43e2e64060
public.get_current_user_store_id()	git:20260118_multi_store_rls.sql	oid:33592	MATCH_CANONICAL	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado (solo-ws)	DRIFT_ATTRS	5bea3f9b2c7526a6273e7215b748107e	6c8c48f9d7b32c67837635b9e2ee347b
public.cancel_reception(p_reception_id uuid)	git:(migrations)/register_reception_rpc.sql	oid:34760	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	56064cafed044ad8dd4513734681976a	529d9515419f4d6f61b129639a952dee
public.audit_profile_changes()	git:20260215_comprehensive_audit_logging.sql	oid:38096	MATCH_BYTE	DRIFT_SECURITY	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	c1685f4ecc1c40d71d3c6b770685e4eb	c1685f4ecc1c40d71d3c6b770685e4eb
public.audit_store_access_changes()	git:20260118_multi_store_audit.sql	oid:38098	MATCH_CANONICAL	DRIFT_SECURITY	DRIFT_SEARCH_PATH	MATCH	final declarado (solo-ws)	DRIFT_ATTRS	cc62e1f76609e45aff0ef10aa154ede2	a40a477e360307dac3ebda78b0c65be6
public.validate_active_store()	git:20260715000007_trigger_smart_update.sql	oid:38664	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	da6ee996cd75f082c9a5e29b645021e6	da6ee996cd75f082c9a5e29b645021e6
public.enforce_encargado_store_limit()	git:20260118_multi_store_logic.sql	oid:38667	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	2ca7d5c49b6c9828172afe0f4dc3ae49	38189cdb76977416c4aeb10e86f61aa1
public.enforce_encargado_user_limit()	git:20260118_multi_store_logic.sql	oid:38669	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	165c6b29890daab6a8cebb59415e15be	167b455368c0bcc3306bb09605b7669d
public.auto_assign_store_to_creator()	git:20260126_unify_membership_logic.sql	oid:38671	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	f8529e2ed058f3acdfd0084063f07495	198101ae5f852c771f974ff082a50791
public.managed_create_store(p_name text, p_address text)	git:20260118_multi_store_managed_ops.sql	oid:38673	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	f9002a16354045a1155b7e66744743cf	db00285198d03f496932b480cb2a5947
public.has_store_access(p_store_id uuid)	git:20260627000001_versionar_has_store_access.sql	oid:38675	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	5c7d310009f60aa864b5b97d00596e48	5c7d310009f60aa864b5b97d00596e48
public.manage_user_memberships(p_user_id uuid, p_memberships jsonb)	git:20260223_unify_and_cleanup_memberships.sql	oid:43261	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	950c6a40f7d00477b8f4472829e268f5	4ae7bcf18dcf4318c436ef62cf13bf51
public.update_updated_at_column()	git:20260612000000_create_ofertas.sql	oid:43263	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	301a884953d37769916294bb60562e05	301a884953d37769916294bb60562e05
public.get_users_for_encargado(p_user_id uuid)	git:20260223_harden_user_management.sql	oid:44368	MATCH_BYTE	MATCH	MATCH	MATCH	versión HISTORICA Git (202401230001_add_get_users_for_encargado.sql); final declarado = 20260223_harden_user_management.sql	MATCH_STALE_VERSION	5dec8b4931dcb1de95a4a2cafc8594dd	3e5c5c70378087c826d51819cb68ad33
public.managed_delete_product(p_product_id uuid)	git:20260527094858_harden_tenant_isolation_products_stores_tenants.sql	oid:45939	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	3be4ba5437c257b7e12e348bc31551dc	d5db3253f0c8ebeb5c500754302dc755
public.managed_toggle_product_active(p_product_id uuid, p_is_active boolean)	git:20260527094858_harden_tenant_isolation_products_stores_tenants.sql	oid:45940	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	3340bd84642b03a0ec73be94b4607bb8	c79e4f4e9725d2239ebb6975bac2570c
public.is_manager_of_store(p_store_id uuid)	NOT_IN_GIT	oid:47064	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_my_role()	git:20260209_fix_critical_rls_issues.sql	oid:47075	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	1b81790370a1fdf71ab44da7ea298ef2	80f57711b48479b855bc1f0ccfc120af
public.is_store_manager(p_store_id uuid)	git:20260126_final_rls_fix.sql	oid:47076	MATCH_CANONICAL	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado (solo-ws)	DRIFT_ATTRS	b36614702457e94a995852d4cbf9a3a2	8a7302dccc00d937e6d7be0e7ef26099
public.get_audit_logs(p_store_id uuid, p_search_term text, p_date_from timestamp without time zone, p_date_to timestamp without time zone, p_limit integer)	git:20260227_fix_rpc_structures.sql	oid:48498	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	7ca1055af0a60e871929a45af056a031	f93ce9494a16d05f2b98ff6bcad9c5c1
public.get_transferable_stores(p_user_id uuid, p_current_store_id uuid)	git:20260726000017_v2_6_h5_get_transferable_stores.sql	oid:49875	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	bfd8a24b449402e1ec6d06199942a333	bfd8a24b449402e1ec6d06199942a333
public.get_dashboard_kpis(p_store_id uuid, p_date_from timestamp with time zone, p_date_to timestamp with time zone)	git:20260128_fix_dashboard_ambiguity.sql	oid:51374	MATCH_CANONICAL	MATCH	DRIFT_SEARCH_PATH	MATCH_BY_BODY	final declarado (solo-ws)	DRIFT_ATTRS	2b0df55f9f82359503ecb5f313f5678d	f7ec1096ff41d07e2a7af6406540074a
public.get_sales_since_last_closure(p_store_id uuid)	git:20260228_fix_sales_since_last_closure_fallback.sql	oid:51380	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	157d3df93e96bf186525079ad68e07b4	c9f43cfecf9af01b0ff47b184b27f792
public.audit_product_changes()	git:20260215_fix_sale_price_error.sql	oid:52507	DRIFT_FUNCTION_BODY	DRIFT_SECURITY	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	b5d13dfaca1ec4ac45941640efd1114c	04a72348b8edc064e22c9a33bd660841
public.audit_store_changes()	git:20260303_fix_store_audit_and_enable_management.sql	oid:52509	DRIFT_FUNCTION_BODY	DRIFT_SECURITY	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	1d673d9dcd6fb35aa08e8b0b853b9d2e	d390ed6f87b8ee095a31303c1913d329
public.is_user_creator(p_target_user_id uuid)	git:20260223_fix_rls_recursion.sql	oid:53941	MATCH_CANONICAL	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado (solo-ws)	DRIFT_ATTRS	0402ee4d5d4a97d2e081db440af3b800	80d0405ebcae6eed1e79b64eabf8c322
public.is_managed_user(p_target_user_id uuid)	git:20260223_fix_rls_recursion.sql	oid:53942	MATCH_CANONICAL	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado (solo-ws)	DRIFT_ATTRS	658abe78988ba3b5548be02e23b3f58e	c66392148dab334051e2adadab15d2d6
public.has_role(p_user_id uuid, p_required_role user_role)	git:20260212_fix_has_role_overload.sql	oid:54235	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	63b78f6bed02ab0fd95b4720f77625ec	77f8b069657c75933c68083b66d37557
public.has_role(p_required_role user_role)	git:20260212_fix_has_role_overload.sql	oid:54236	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	63b78f6bed02ab0fd95b4720f77625ec	bd2d1f5a02efd8ff2cf143066ab09331
public.get_transactions_with_profit(p_store_id uuid, p_search_term text, p_date_from timestamp without time zone, p_date_to timestamp without time zone, p_limit integer)	NOT_IN_GIT	oid:59842	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_product_stock_ledger_paginated(p_product_id uuid, p_store_id uuid, p_limit integer, p_offset integer)	git:20260227_fix_rpc_structures.sql	oid:59843	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	3a9a4da80366429cece2cbb5f2e40a87	13e7905bad2f4a5eaa7057f5ab27fe83
public.update_transaction_taxes(p_transaction_id uuid, p_applied_taxes jsonb, p_tax_amount numeric, p_total_amount numeric)	git:20260228_implement_taxes.sql	oid:59867	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	94a0c28a9e9a242c2c3afcf72e6a4dbf	5923cf78c99715b637869bd567c4b422
public.validate_transfer_stores()	git:20260301_control_fallos_harden.sql	oid:63379	MATCH_CANONICAL	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado (solo-ws)	DRIFT_ATTRS	23aa0c4c565214d9892329ced583e00e	f57efc4cbdcfcec25b00c11f73f93620
public.check_reception_cost_variation()	git:20260301_control_fallos_harden.sql	oid:63381	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	eb770694e1e9ef0c58d71eeede6c2331	59768491ba5c1855c09d8024e71fd31a
public.audit_role_changes()	git:20260302_0005_audit_role_changes.sql	oid:70045	MATCH_BYTE	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado	DRIFT_ATTRS	1d36a393576134c58478dedbd913f115	1d36a393576134c58478dedbd913f115
public.can_create_user_with_role(p_creator_id uuid, p_role_name text)	git:20260302_0006_fix_hierarchy_and_triggers.sql	oid:70047	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	e50b4397ed5e1dddf200a6bc4d63cdb0	9632d8efbc911c8bb08839ba121ae99d
public.on_auth_user_created()	git:20260806000004_v2_15_4_on_auth_user_created_tenant.sql	oid:70049	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	178d71af951dc50237b3b52acd6d4e2b	178d71af951dc50237b3b52acd6d4e2b
public.is_role_not_changed(p_user_id uuid, p_new_role user_role, p_new_role_id uuid)	git:20260305_fix_profiles_rls_final.sql	oid:75761	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	3bfcdeb6cad343a4976e5479becab192	a345cded52ffe3a5d46bfb257f565ae8
public.is_admin_check(p_user_id uuid)	NOT_IN_GIT	oid:76874	-	-	-	-	-	ORPHAN_LIVE	-	-
public.can_safely_delete_user(p_user_id uuid)	git:20260317_fix_safe_delete_user.sql	oid:79082	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	2514a7026150e2cf0612e7c9f35fc82f	2514a7026150e2cf0612e7c9f35fc82f
public.managed_delete_user(p_user_id uuid)	git:20260317_fix_safe_delete_user.sql	oid:79083	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	3770a6aa0977f5c4fa324c10e09672b0	0e2c65659af7fb014621e1daed783942
public.get_new_academy_cards(p_user_id uuid, p_limit integer)	NOT_IN_GIT	oid:79124	-	-	-	-	-	ORPHAN_LIVE	-	-
public.log_audit_event(p_action text, p_payload jsonb, p_store_id uuid)	git:20260324_total_remediation.sql	oid:88135	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	9392dfdda2bb24a7c182569ce8a91363	a700956c0e79f8f017550d215d37fa80
public.managed_create_user(p_max_users integer, p_max_stores integer, p_role text, p_full_name text, p_email text, p_creator_id uuid, p_target_user_id uuid, p_store_id uuid, p_memberships jsonb)	git:20260326_multi_tenant_hardening.sql	oid:88184	DRIFT_FUNCTION_BODY	MATCH	MATCH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	3fd25e2139da5fb07e8335ecb64ac7b9	1dcf4b1c3d55ba6fdaaf41bf9ee17b7e
public.verify_audit_chain()	NOT_IN_GIT	oid:88196	-	-	-	-	-	ORPHAN_LIVE	-	-
public.increment_user_usage(p_user_id uuid, p_action_type text, p_limit integer)	NOT_IN_GIT	oid:94972	-	-	-	-	-	ORPHAN_LIVE	-	-
public.process_pick3_transaction(p_user_id uuid, p_type text, p_amount bigint, p_reference_draw_id uuid, p_reference_play_id uuid, p_notes text, p_metadata jsonb)	NOT_IN_GIT	oid:119652	-	-	-	-	-	ORPHAN_LIVE	-	-
public.on_pick3_profile_initial_bankroll()	NOT_IN_GIT	oid:119653	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_transfers(p_store_id uuid, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_status text, p_limit integer)	NOT_IN_GIT	oid:130868	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_cash_closures(p_store_id uuid, p_date_from date, p_date_to date, p_limit integer)	NOT_IN_GIT	oid:130869	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_profit_report(p_store_id uuid, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_limit integer)	NOT_IN_GIT	oid:130870	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_daily_income_aggregated(p_store_id uuid, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_limit integer)	NOT_IN_GIT	oid:130871	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_daily_expenses_aggregated(p_store_id uuid, p_date_from date, p_date_to date, p_limit integer)	NOT_IN_GIT	oid:130872	-	-	-	-	-	ORPHAN_LIVE	-	-
public.cancel_transfer(p_transfer_id uuid, p_user_id uuid)	git:20260802000002_v2_12_42_transfer_remediation.sql	oid:130873	MATCH_BYTE	MATCH	MATCH	MATCH	versión HISTORICA Git (20260727000008_v2_12_12_fix_is_not_null_pattern.sql); final declarado = 20260802000002_v2_12_42_transfer_remediation.sql	MATCH_STALE_VERSION	381d4db2d513e4608ba3eaa79564014a	2a5a9ce7940f3981fc3310467586441a
public.stores_soft_delete_cleanup()	NOT_IN_GIT	oid:130958	-	-	-	-	-	ORPHAN_LIVE	-	-
public.fn_process_receipt(p_items jsonb, p_user_id uuid, p_store_id uuid, p_reference text)	git:20260326_multi_tenant_hardening.sql	oid:130964	DRIFT_FUNCTION_BODY	MATCH	MATCH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	b32dfcca5b9b06009567504dbee5abb5	ee57bdfc693da29eee6bd8987a2cd119
public.fn_maintain_product_completeness()	NOT_IN_GIT	oid:130968	-	-	-	-	-	ORPHAN_LIVE	-	-
public.fn_log_system_health(p_payload jsonb)	NOT_IN_GIT	oid:131041	-	-	-	-	-	ORPHAN_LIVE	-	-
public.sync_product_has_movements()	git:20260802000008_v2_12_47_restore_rpc_execute.sql	oid:131044	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	fdd4e6bb06ad89a9657d950c6dabe031	fdd4e6bb06ad89a9657d950c6dabe031
public.sync_product_stock()	git:20260802000008_v2_12_47_restore_rpc_execute.sql	oid:131067	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	ac6af0450dba4906b12ba2d94ef429ea	ac6af0450dba4906b12ba2d94ef429ea
public.process_sale_transaction(p_store_id uuid, p_user_id uuid, p_items jsonb, p_total_amount numeric, p_subtotal numeric, p_payment_method text, p_discount_type text, p_discount_value numeric, p_idempotency_key text)	NOT_IN_GIT	oid:131361	-	-	-	-	-	ORPHAN_LIVE	-	-
public.process_initial_stock(p_store_id uuid, p_product_id uuid, p_quantity numeric, p_reference_doc text, p_movement_date timestamp with time zone)	git:20260127_canonical_stock_movement.sql	oid:131362	DRIFT_FUNCTION_BODY	DRIFT_SECURITY	MATCH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	4013981e7dfdd46f434dc4284da02482	725a8ccd477b45860ae178ae5e6284c1
public.process_bulk_import(p_store_id uuid, p_user_id uuid, p_items jsonb)	NOT_IN_GIT	oid:131363	-	-	-	-	-	ORPHAN_LIVE	-	-
public.deduct_stock(p_store_id uuid, p_product_id uuid, p_quantity numeric)	git:20260127_canonical_stock_movement.sql	oid:131395	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	CHECK_ARGS	cuerpo LIVE nunca declarado en Git	DRIFT_SIGNATURE	343a5dcca1b98459b250930819c84866	669feb8d547076050968cf9ccf3884bc
public.get_ai_api_key(p_user_id uuid, p_provider text)	NOT_IN_GIT	oid:131405	-	-	-	-	-	ORPHAN_LIVE	-	-
public.save_ai_api_key(p_provider text, p_api_key text, p_label text)	NOT_IN_GIT	oid:131406	-	-	-	-	-	ORPHAN_LIVE	-	-
public.sync_inventory_from_products(p_store_id uuid)	NOT_IN_GIT	oid:131719	-	-	-	-	-	ORPHAN_LIVE	-	-
public.is_global_admin()	git:20260614000001_add_stores_rls_policies.sql	oid:131886	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	134119e5c4cbf5b30c4bcbc5b7277dd7	134119e5c4cbf5b30c4bcbc5b7277dd7
public.is_store_member(p_store_id uuid)	git:20260614000001_add_stores_rls_policies.sql	oid:131887	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	2402df1bd096b528161256518c804fba	2402df1bd096b528161256518c804fba
public.has_store_role(p_store_id uuid, p_roles text[])	git:20260820000001_security_fix_spoofable_caller_uid.sql	oid:131888	MATCH_BYTE	MATCH	MATCH	MATCH	versión HISTORICA Git (20260627000001_versionar_has_store_access.sql); final declarado = 20260820000001_security_fix_spoofable_caller_uid.sql	MATCH_STALE_VERSION	53dd721499bf3253b567e3b1372400ee	bf4b1761a6ccd80919108301fe94a0e9
public.get_batch_store_daily_kpis(p_store_ids uuid[], p_date date)	git:20260619000004_fix_kpi_pending_receptions.sql	oid:131903	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	2b2c8e871a23e36e38886e629595e5a4	2b2c8e871a23e36e38886e629595e5a4
public.soft_delete_store(p_store_id uuid, p_deleted_by uuid)	git:20260802000001_v2_12_41_fase0_remediacion.sql	oid:131945	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	3ad3fd0fc46599f68cad075f973dc2e1	ee3f201799b913a717851b5fc6644460
public.upsert_store_cost_template(p_store_id uuid, p_template_id text, p_template_data jsonb, p_modalidad text, p_pdf_format text, p_created_by uuid)	git:20260615000001_create_store_cost_templates.sql	oid:131996	MATCH_BYTE	MATCH	MATCH	MATCH_BY_BODY	final declarado	MATCH	bb2f9461291702eda9d74288f1416514	bb2f9461291702eda9d74288f1416514
public.get_or_create_product_cost_sheet(p_product_id uuid, p_store_id uuid, p_template_id text, p_modalidad text, p_pdf_format text)	git:20260615000002_create_product_cost_sheets_and_alter_products.sql	oid:132041	MATCH_BYTE	MATCH	MATCH	MATCH_BY_BODY	final declarado	MATCH	ac244dee7d683865d6985f5ca84e386d	ac244dee7d683865d6985f5ca84e386d
public.save_product_cost_sheet(p_product_id uuid, p_store_id uuid, p_template_id text, p_modalidad text, p_calculated_data jsonb, p_cost_price numeric)	git:20260615000002_create_product_cost_sheets_and_alter_products.sql	oid:132042	MATCH_BYTE	MATCH	MATCH	MATCH_BY_BODY	final declarado	MATCH	4e2a2321cc82cb13bcd307c307f4c502	4e2a2321cc82cb13bcd307c307f4c502
public.update_suppliers_updated_at()	NOT_IN_GIT	oid:132195	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_products_for_reception(p_store_id uuid, p_search_term text, p_page integer, p_page_size integer)	NOT_IN_GIT	oid:132197	-	-	-	-	-	ORPHAN_LIVE	-	-
public.update_purchase_orders_updated_at()	git:20260808000001_v2_24_g1_schema_sync.sql	oid:132229	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	ed12387a25646709aca6cd9b21720d1f	ed12387a25646709aca6cd9b21720d1f
public.update_po_updated_at()	NOT_IN_GIT	oid:132267	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_store_analytics_advanced(p_store_id uuid, p_start_date date, p_end_date date, p_days integer)	git:20260620000001_store_analytics_advanced.sql	oid:132401	MATCH_BYTE	MATCH	MATCH	MATCH_BY_BODY	final declarado	MATCH	934338f1fd51711130a9d22e980a1219	934338f1fd51711130a9d22e980a1219
