table	git_state	live_state	classification
user_audit_log	GIT_PRESENT	LIVE_PRESENT	MATCH
user_invitations	GIT_PRESENT	LIVE_PRESENT	MATCH
user_preferences	GIT_PRESENT	LIVE_PRESENT	MATCH
user_progress	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
user_store_memberships	GIT_PRESENT	LIVE_PRESENT	MATCH
user_strategy_feedback	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
user_usage	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
w62_df04_design_params	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
w62_df04_synthetic_rows	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
w62_zero_cost_flags	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
wac_change_log	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
wallet_accounts	GIT_PRESENT	LIVE_PRESENT	MATCH
wallet_transactions	GIT_PRESENT	LIVE_PRESENT	MATCH
warehouse_stock	GIT_PRESENT	LIVE_PRESENT	MATCH
warehouses	GIT_PRESENT	LIVE_PRESENT	MATCH
whatsapp_configs	GIT_PRESENT	LIVE_PRESENT	MATCH
whatsapp_contacts	GIT_PRESENT	LIVE_PRESENT	MATCH
whatsapp_invitations	GIT_PRESENT	LIVE_PRESENT	MATCH
whatsapp_messages	GIT_PRESENT	LIVE_PRESENT	MATCH
whatsapp_product_posts	GIT_PRESENT	LIVE_PRESENT	MATCH
whatsapp_risk_state	GIT_PRESENT	LIVE_PRESENT	MATCH
workers	GIT_PRESENT	LIVE_PRESENT	MATCH
z_reports	GIT_PRESENT	LIVE_PRESENT	MATCH
fc_automation_config	GIT_PRESENT	NO_LIVE	MISSING_LIVE
fc_generation_log	GIT_PRESENT	NO_LIVE	MISSING_LIVE
fc_pdf_cache	GIT_PRESENT	NO_LIVE	MISSING_LIVE
