trigger	git_source	live_state	classification	detail
inventory_adjustments.trg_validate_adjustment_transition	git:20260726000006_v2_3_production_reversal_and_validation.sql	LIVE_PRESENT	MATCH	git:fn_validate_document_transition live:fn_validate_document_transition
inventory_movements.trg_sync_has_movements_inv	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	sync_product_has_movements()
ofertas.set_ofertas_updated_at	git:20260612000000_create_ofertas.sql	LIVE_PRESENT	MATCH	git:update_updated_at_column live:update_updated_at_column
orphaned_users_log.update_orphaned_users_log_updated_at	git:20260805000003_v2_14_3_orphaned_users_log.sql	LIVE_PRESENT	MATCH	git:update_orphaned_users_log_updated_at live:update_orphaned_users_log_updated_at
payment_transactions.trg_audit_payment_transactions	git:20260809000004_v2_18_4_audit_triggers.sql	LIVE_PRESENT	MATCH	git:audit_payment_transactions_changes live:audit_payment_transactions_changes
payment_transactions.trg_update_payment_status	git:20260712000001_payment_tracking.sql	LIVE_PRESENT	MATCH	git:update_payment_status live:update_payment_status
payment_transactions.trg_validate_payment_invariants	git:20260812000001_pr4_4i_payment_transactions_hardening.sql	LIVE_PRESENT	MATCH	git:validate_payment_transactions_invariants live:validate_payment_transactions_invariants
physical_counts.trg_generate_physical_count_number	git:20260726000020_v2_9_h6_physical_count.sql	LIVE_PRESENT	MATCH	git:fn_generate_physical_count_number live:fn_generate_physical_count_number
pick3_profiles.tr_pick3_initial_bankroll	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	on_pick3_profile_initial_bankroll()
pick3_referrals.trigger_pick3_referrals_updated_at	git:20260705000001_pick3_referrals.sql	LIVE_PRESENT	MATCH	git:handle_updated_at live:handle_updated_at
pick3_subscriptions.trigger_pick3_subscriptions_updated_at	git:20260705000000_pick3_subscriptions.sql	LIVE_PRESENT	MATCH	git:handle_updated_at live:handle_updated_at
pick3_usage.trigger_pick3_usage_updated_at	git:20260705000000_pick3_subscriptions.sql	LIVE_PRESENT	MATCH	git:handle_updated_at live:handle_updated_at
product_cost_sheets.set_product_cost_sheets_updated_at	git:20260615000002_create_product_cost_sheets_and_alter_products.sql	LIVE_PRESENT	MATCH	git:update_updated_at_column live:update_updated_at_column
production_orders.trg_generate_po_number	git:20260712000004_production_orders.sql	LIVE_PRESENT	MATCH	git:generate_production_order_number live:generate_production_order_number
production_orders.trg_validate_production_transition	git:20260726000006_v2_3_production_reversal_and_validation.sql	LIVE_PRESENT	MATCH	git:fn_validate_document_transition live:fn_validate_document_transition
products.trg_ensure_product_barcode	git:20260820000008_catalog_hardening.sql	LIVE_PRESENT	MATCH	git:ensure_product_barcode live:ensure_product_barcode
products.trg_guard_wac_writer	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	w62_guard_wac_writer()
products.trg_maintain_product_completeness	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	fn_maintain_product_completeness()
products.trigger_audit_product_changes	git:20260215_fix_sale_price_error.sql	LIVE_PRESENT	MATCH	git:audit_product_changes live:audit_product_changes
profiles.prevent_hard_delete_profile	git:20260805000002_v2_14_2_profiles_soft_delete.sql	LIVE_PRESENT	MATCH	git:prevent_hard_delete_profile live:prevent_hard_delete_profile
profiles.trg_prevent_self_privilege_escalation	git:20260911000000_rem_sec1_security_boundaries.sql	LIVE_PRESENT	MATCH	git:prevent_self_privilege_escalation live:prevent_self_privilege_escalation
profiles.trg_sync_profile_role	git:20260726000019_v2_8_unify_roles.sql	LIVE_PRESENT	MATCH	git:fn_sync_profile_role live:fn_sync_profile_role
profiles.trigger_audit_profile_changes	git:20260215_comprehensive_audit_logging.sql	LIVE_PRESENT	MATCH	git:audit_profile_changes live:audit_profile_changes
profiles.trigger_enforce_encargado_user_limit	git:20260118_multi_store_logic.sql	LIVE_PRESENT	MATCH	git:enforce_encargado_user_limit live:enforce_encargado_user_limit
profiles.trigger_validate_active_store	git:20260715000007_trigger_smart_update.sql	LIVE_PRESENT	MATCH	git:validate_active_store live:validate_active_store
purchase_orders.trg_po_updated	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	update_po_updated_at()
purchase_orders.trg_purchase_orders_updated_at	git:20260808000001_v2_24_g1_schema_sync.sql	LIVE_PRESENT	MATCH	git:update_purchase_orders_updated_at live:update_purchase_orders_updated_at
receipt_items.trg_check_reception_cost_variation	git:20260301_control_fallos_harden.sql	LIVE_PRESENT	MATCH	git:check_reception_cost_variation live:check_reception_cost_variation
receipt_items.trg_sync_has_movements_receipt	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	sync_product_has_movements()
receipts.trg_audit_receipt_changes	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	log_transaction_changes()
receipts.trg_set_due_date_receipt	git:20260712000001_payment_tracking.sql	LIVE_PRESENT	MATCH	git:set_default_due_date_receipt live:set_default_due_date_receipt
receipts.trg_validate_receipt_transition	git:20260726000006_v2_3_production_reversal_and_validation.sql	LIVE_PRESENT	MATCH	git:fn_validate_document_transition live:fn_validate_document_transition
received_services.trg_prevent_received_service_edit	git:20260809000003_v2_25_g3_trigger_prevent_edit.sql	LIVE_PRESENT	MATCH	git:prevent_received_service_edit live:prevent_received_service_edit
received_services.trg_set_due_date_service	git:20260712000001_payment_tracking.sql	LIVE_PRESENT	MATCH	git:set_default_due_date_service live:set_default_due_date_service
roles.tr_audit_role_changes	git:20260302_0005_audit_role_changes.sql	LIVE_PRESENT	MATCH	git:audit_role_changes live:audit_role_changes
roles.update_roles_updated_at	git:20260302_0002_create_roles_table.sql	LIVE_PRESENT	MATCH	git:update_updated_at_column live:update_updated_at_column
sales_transactions.sales_transactions_touch_updated_at	git:20260626000002_workers_commissions.sql	LIVE_PRESENT	MATCH	git:touch_updated_at live:touch_updated_at
stock_movements.tr_sync_inventory_after_movement	git:20260115_fix_inventory_immutability.sql	LIVE_PRESENT	MATCH	git:fn_sync_inventory_on_movement live:fn_sync_inventory_on_movement
stock_movements.trg_auto_kardex	git:20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql	LIVE_PRESENT	MATCH	git:auto_kardex_on_stock_movement live:auto_kardex_on_stock_movement
stock_movements.trg_sync_product_stock	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	sync_product_stock()
storage.buckets.enforce_bucket_name_length_trigger	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	enforce_bucket_name_length()
storage.buckets.protect_buckets_delete	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	protect_delete()
storage.objects.protect_objects_delete	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	protect_delete()
storage.objects.update_objects_updated_at	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	update_updated_at_column()
store_cost_templates.set_store_cost_templates_updated_at	git:20260615000001_create_store_cost_templates.sql	LIVE_PRESENT	MATCH	git:update_updated_at_column live:update_updated_at_column
stores.trg_audit_backup_restore_protected	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	audit_backup_restore_protected_change()
stores.trg_stores_soft_delete_cleanup	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	stores_soft_delete_cleanup()
stores.trigger_audit_store_changes	git:20260303_fix_store_audit_and_enable_management.sql	LIVE_PRESENT	MATCH	git:audit_store_changes live:audit_store_changes
stores.trigger_auto_assign_store_to_creator	git:20260118_multi_store_logic.sql	LIVE_PRESENT	MATCH	git:auto_assign_store_to_creator live:auto_assign_store_to_creator
stores.trigger_enforce_encargado_store_limit	git:20260118_multi_store_logic.sql	LIVE_PRESENT	MATCH	git:enforce_encargado_store_limit live:enforce_encargado_store_limit
suppliers.trg_suppliers_updated_at	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	update_suppliers_updated_at()
transaction_items.trg_sync_has_movements_sale	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	sync_product_has_movements()
transaction_recovery_ledger.trg_ledger_append_only	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	enforce_ledger_append_only()
transactions.reverse_commissions_on_sale_void	git:20260809000003_v2_18_3_commission_reversal_trigger.sql	LIVE_PRESENT	MATCH	git:reverse_commissions_on_sale_void live:reverse_commissions_on_sale_void
transactions.trg_audit_transaction_changes	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	log_transaction_changes()
transactions.trg_check_active_user	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	check_active_user()
transactions.trg_protect_transactions_total_amount	git:20260812000001_pr4_4i_payment_transactions_hardening.sql	LIVE_PRESENT	MATCH	git:protect_transactions_total_amount live:protect_transactions_total_amount
transactions.trg_validate_tx_transition	git:20260726000006_v2_3_production_reversal_and_validation.sql	LIVE_PRESENT	MATCH	git:fn_validate_document_transition live:fn_validate_document_transition
transfers.trg_validate_transfer_stores	git:20260301_control_fallos_harden.sql	LIVE_PRESENT	MATCH	git:validate_transfer_stores live:validate_transfer_stores
transfers.trg_validate_transfer_transition	git:20260726000006_v2_3_production_reversal_and_validation.sql	LIVE_PRESENT	MATCH	git:fn_validate_document_transition live:fn_validate_document_transition
user_invitations.update_user_invitations_updated_at	git:20260805000004_v2_14_4_user_invitations.sql	LIVE_PRESENT	MATCH	git:update_user_invitations_updated_at live:update_user_invitations_updated_at
user_store_memberships.update_user_store_memberships_updated_at	git:20260120_enterprise_multi_store.sql	LIVE_PRESENT	MATCH	git:update_updated_at_column live:update_updated_at_column
wallet_accounts.trigger_wallet_accounts_updated	git:20260705000002_wallet_transfermovil.sql	LIVE_PRESENT	MATCH	git:handle_updated_at live:handle_updated_at
wallet_transactions.trigger_wallet_tx_updated	git:20260705000002_wallet_transfermovil.sql	LIVE_PRESENT	MATCH	git:handle_updated_at live:handle_updated_at
workers.workers_touch_updated_at	git:20260626000002_workers_commissions.sql	LIVE_PRESENT	MATCH	git:touch_updated_at live:touch_updated_at
z_reports.prevent_z_report_edit	git:20260810000002_v2_19_2_z_reports.sql	LIVE_PRESENT	MATCH	git:prevent_z_report_edit live:prevent_z_report_edit
fc_automation_config.set_fc_automation_config_updated_at	git:20260615000004_create_fc_automation_support_tables.sql	NO_LIVE	MISSING_LIVE	-
fc_pdf_cache.set_fc_pdf_cache_updated_at	git:20260615000004_create_fc_automation_support_tables.sql	NO_LIVE	MISSING_LIVE	-
receipt_items.trg_update_product_wac	git:20260301_control_fallos_harden.sql	NO_LIVE	MISSING_LIVE	-
stock_movements.tr_audit_stock_reception	git:20260318_harden_audit_logging.sql	NO_LIVE	MISSING_LIVE	-
transactions.tr_audit_transaction_voiding	git:20260318_harden_audit_logging.sql	NO_LIVE	MISSING_LIVE	-
user_preferences.trg_user_preferences_set_updated_at	git:20260703000005_user_preferences.sql	NO_LIVE	MISSING_LIVE	-
user_store_access.trigger_audit_store_access_changes	git:20260118_multi_store_audit.sql	NO_LIVE	MISSING_LIVE	-
user_store_memberships.trigger_audit_user_store_memberships_changes	git:20260127_enhance_audit_logs.sql	NO_LIVE	MISSING_LIVE	-
