seccion,momento_o_dia,clave,conteo
global_reset_restore_event,2026-08-10T05:07:55.425441+00:00,store_reset_initiated store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T05:07:57.576443+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T05:07:58.302868+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T06:50:17.288191+00:00,store_reset_initiated store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T06:50:18.713492+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T06:50:19.466009+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T07:05:57.122058+00:00,store_reset_initiated store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T07:06:00.041431+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T07:06:01.046872+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T07:41:11.430183+00:00,store_reset_initiated store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T07:41:14.188595+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-10T07:41:15.302606+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T01:03:46.461891+00:00,store_reset_initiated store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T01:03:49.446438+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T01:03:50.924087+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T21:58:31.340431+00:00,store_reset_initiated store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T21:58:32.680852+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T21:58:34.232185+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T22:45:55.67757+00:00,store_reset_initiated store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T22:45:58.858501+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-11T22:45:59.88944+00:00,store_reset_completed store=5e6fe821 user=null,1
global_reset_restore_event,2026-08-16T23:05:31.158271+00:00,store_reset_initiated store=43a4dabc user=null,1
global_reset_restore_event,2026-08-16T23:08:38.965096+00:00,store_reset_initiated store=43a4dabc user=null,1
global_reset_restore_event,2026-08-16T23:10:37.899745+00:00,store_reset_initiated store=43a4dabc user=null,1
global_reset_restore_event,2026-08-16T23:10:54.507157+00:00,store_reset_initiated store=43a4dabc user=null,1
global_reset_restore_event,2026-08-16T23:12:39.916356+00:00,store_reset_initiated store=43a4dabc user=null,1
global_reset_restore_event,2026-08-16T23:15:36.073732+00:00,store_reset_initiated store=43a4dabc user=null,1
global_reset_restore_event,2026-08-16T23:15:37.549746+00:00,store_reset_completed store=43a4dabc user=null,1
global_reset_restore_event,2026-08-16T23:15:38.62881+00:00,store_reset_completed store=43a4dabc user=null,1
