product_id,sku,name,stock_current,inventory_qty,ledger_qty,difference,evidence_source,classification,match_status
8b626748,CAT-0073,Interruptor doble,9,,0,9,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
b06c20ed,CAT-0050,Nudos de 50,9,,0,9,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
de015bd9,CAT-0085,Panel 585,8,,0,8,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
0d95ec26,CAT-0057,Rodillo,7,,0,7,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
6ac93fb5,CAT-0040,Latiguillo de media por 3/8,7,,0,7,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
55f7eb2b,CAT-0049,Nudos de 3/4,7,,0,7,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
3006ba3e,CAT-0077,Teipe negro,7,,0,7,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
2b2f28e3,CAT-0043,Losa aporcelanada 60x60,6,,0,6,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
868d3a72,CAT-0072,Yee de 50,6,,0,6,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
2dbfb550,CAT-0076,Toma corriente con tapa,6,,0,6,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
e1c23a92,CAT-0092,Juego de pata,5,,0,5,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
7a73a85b,CAT-0090,Cable Solar Rojo 6mm,5,,0,5,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
ac868bd7,CAT-0056,Reducido de 3/4,5,,0,5,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
0c2fcc6c,CAT-0034,Fregadero,4,,0,4,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
d640bf18,CAT-0044,Losa aporcelanada 60x60 con de,4,,0,4,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
892b2bb1,CAT-0069,Unión universal de 3/4,4,,0,4,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
9da60d14,CAT-0018,Cheques metálicos,4,,0,4,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
69824282,CAT-0005,Brecker 16A Sencillo,4,,0,4,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
5d6de612,CAT-0107,Caja de distribución TRIC,4,,0,4,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
7d0751af,CAT-0004,Bisagra,4,,0,4,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
c4870c06,CAT-0003,Araganes,4,,0,4,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
df97049c,CAT-0083,Cripiadora Roja con 6 dabas ro,3,,0,3,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
f13436c1,CAT-0046,Masilla interior blanca,3,,0,3,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
8d00b701,CAT-0094,Barrena 6mm Madera,3,,0,3,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
5288a38f,CAT-0045,Malla perli,3,,0,3,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
54f03982,CAT-0108,Cajita Breckera sencilla gris,3,,0,3,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
70ad936d,CAT-0074,Controlador de línea,3,,0,3,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
470847a9,CAT-0042,Llave de lavamano,3,,0,3,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
43370837,CAT-0026,Disco de esmeril,3,,0,3,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
0e9d781a,CAT-0006,Brecker 25 A Sencillo,2,,0,2,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
6e7331fa,CAT-0033,Extensiones 5M,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
26fdac16,CAT-0080,Brecker C32A Sencillo,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
1a571786,CAT-0082,Cripiadora con pela cable Anar,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
bb1b6fd0,CAT-0025,Cuchilla 3P 100A,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
6a64f76b,CAT-0064,Tanqueta de antioxidante gris ,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
d6c8fb13,CAT-0063,Tanqueta de Aceite negro 20 L,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
5dd7ff57,CAT-0010,Brida 58,2,,0,2,backup+ops_post_08-02(parcial),MISSING_LEDGER,LEDGER_CONFLICT_POST_BACKUP
e65916ea,CAT-0007,Brecker 32A Trifasico,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
6de05641,CAT-0101,Canal de media,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
63f0eeea,CAT-0105,Cajita breckera sencilla,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
b3e54ebe,CAT-0036,Impermeable verde 20Kg,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
14fcc881,CAT-0068,Transfer trifásico,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
85a6c248,CAT-0059,Soporte de papel higiénico,1,,0,1,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
b0aa4eaa,CAT-0115,Estación solar,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
53d9c964,CAT-0024,Cuchilla 2P 63A,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
2b394fa4,CAT-0060,Supresores de sobretensiones,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
dea47824,CAT-0054,Porta Fusibles,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
a010153a,CAT-0023,Cuchilla 2P 100A,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
2fbd9764,CAT-0117,Inversor,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
dfe95aa3,CAT-0008,Brecker C32 A Trible,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
aab1bd0b,CAT-0084,Conector XT60,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
9fb22bdf,CAT-0089,Cable Solar Negro 6mm,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
10a6cca7,CAT-0116,Pintura Blanca 5L,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
366f2263,CAT-0053,Planchas de zinc,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
e8210228,CAT-0067,Transfer monofásico 220,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
2bd13c85,CAT-0086,Panel 630,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
01301a54,CAT-0021,Colchón Milexus,1,,0,1,backup+ops_post_08-02(parcial),MISSING_LEDGER,LEDGER_CONFLICT_POST_BACKUP
f483daf8,CAT-0016,Cemento P425 Tudella,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
94931dba,CAT-0062,T de pulgada a 3/4,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
1594070e,CAT-0055,Purles,0,,0,0,backup_20260802_payload(exacto),NO_STOCK,MATCH_BACKUP
7049d300,WAC-1786067683,WAC Test Product 1786067683,15,,0,15,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
aa5e148b,TASA-EXT-1786067764,Tasa Extrema Test,11,,0,11,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
94e53fd4,VOID-1786067801,Void WAC Test,10,,0,10,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
5bf782be,CONC-1786067801,Concurrent Recv Test,15,,0,15,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
8f4e2708,WACTRACE-1786068302,WAC Trace Test 1786068302,15,,0,15,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
185f1c6f,VOIDTRACE-1786068382,VOID Trace Test 1786068382,10,,0,10,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
b7bd618c,WACFIX-1786068956,WAC Fix Test 1786068956,15,,0,15,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
7dbff68e,WACFINAL-1786069134,WAC Final Test 1786069134,15,,0,15,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
e9541bb4,WACFN-1786069224,WAC FINAL 1786069224,10,,0,10,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
530e198c,PRODWAC-1786069598,PROD WAC Verify 1786069598,10,,0,10,ninguno,MISSING_LEDGER,UNKNOWN_ORIGIN
