== SHIMS ==
SHIMS OK
ERR(13) 20260326_multi_tenant_hardening.sql
ERR(5) 20260329180000_harden_pick3_schema.sql
ERR(55) 20260527094858_harden_tenant_isolation_products_stores_tenants.sql
ERR(0) 20260527101800_cleanup_remaining_broad_rls_products_stores.sql
ERR(10) 20260612000000_create_ofertas.sql
ERR(9) 20260612000001_alter_ofertas_add_fields.sql
ERR(7) 20260613000001_alter_stores_add_oferta_fields.sql
ERR(19) 20260614000001_add_stores_rls_policies.sql
OK    20260614000002_create_store_with_membership.sql
ERR(0) 20260614000003_create_batch_store_kpis.sql
ERR(6) 20260614000004_optimize_batch_kpi_rpc.sql
OK    20260614000005_soft_delete_store_rpc.sql
ERR(10) 20260615000001_create_store_cost_templates.sql
ERR(15) 20260615000002_create_product_cost_sheets_and_alter_products.sql
ERR(2) 20260615000003_add_unique_index_product_cost_sheets.sql
ERR(27) 20260615000004_create_fc_automation_support_tables.sql
OK    20260616000001_create_bulk_assign_memberships_rpc.sql
ERR(3) 20260616000002_audit_logs_rls.sql
ERR(2) 20260617000001_add_fulltext_search_products.sql
ERR(6) 20260618000001_add_customer_to_transactions.README.md
ERR(4) 20260618000001_add_customer_to_transactions.sql
OK    20260619000001_reset_store_data_with_keep_catalog.sql
ERR(1) 20260619000002_quick_wins_financial_audit.sql
OK    20260619000003_medianas_financial_audit.sql
OK    20260619000004_fix_kpi_pending_receptions.sql
ERR(13) 20260619000005_versionar_m2_m3_m5.sql
ERR(70) 20260619000006_rls_policies_versioned.sql
ERR(0) 20260620000001_store_analytics_advanced.sql
ERR(5) 20260622000001_global_operation_date_policy.sql
ERR(0) 20260622000002_extend_global_date_policy.sql
ERR(0) 20260622000003_perform_adjustment_op_date.sql
ERR(1) 20260622000004_void_rpcs_op_date.sql
ERR(3) 20260623000001_refactor_per_store_policy.sql
OK    20260623000002_update_rpc_calls_per_store.sql
ERR(2) 20260623000003_fix_confirm_reception_date.sql
OK    20260623000004_fix_race_condition_advisory_lock.sql
ERR(1) 20260624000001_inteligencia_cambiaria.sql
ERR(0) 20260624000002_inteligencia_cambiaria_segments.sql
ERR(27) 20260625000001_servicios_recibidos.sql
ERR(5) 20260626000001_usage_tracking.sql
ERR(54) 20260626000002_workers_commissions.sql
ERR(17) 20260626000003_workers_rls_admin_bypass.sql
ERR(1) 20260626000004_qa_critical_fixes.sql
ERR(2) 20260626000005_qa_batch2_rpc_fixes.sql
OK    20260627000001_versionar_has_store_access.sql
OK    20260627000002_rpc_transaccionales.sql
ERR(5) 20260627000003_prevent_negative_stock.sql
ERR(8) 20260628000001_store_archiving.sql
ERR(3) 20260628120000_archived_by_fk_constraint.sql
ERR(3) 20260628130000_normalize_legacy_slugs.sql
ERR(30) 20260629000001_costeo_dinamico_infraestructura.sql
ERR(1) 20260629000002_update_rpc_register_reception_with_currency.sql
ERR(3) 20260629000003_fix_rls_commission_reception_links.sql
ERR(3) 20260630120000_create_get_low_stock_count_rpc.sql
ERR(2) 20260630190000_fix_v_global_operation_dates_security_invoker.sql
ERR(10) 20260701000001_create_saved_analytics_views.sql
ERR(33) 20260702000001_create_whatsapp_module.sql
ERR(3) 20260702000001_fix_wac_currency_conversion.sql
ERR(1) 20260702000002_backfill_wac_currency_conversion.sql
ERR(13) 20260702000003_multi_currency_sales.sql
OK    20260702000004_create_sale_multi_currency.sql
OK    20260702000005_create_sale_per_item_currency.sql
OK    20260702000006_fix_create_sale_variants_and_costs.sql
OK    20260702000007_fix_confirm_pending_update_price.sql
OK    20260702000008_fix_void_transaction_variants.sql
ERR(3) 20260702000009_add_variant_id_receipt_items.sql
OK    20260702000010_fix_critical_regressions.sql
ERR(1) 20260702000011_fix_variants_reception_and_void.sql
ERR(30) 20260703000001_create_telegram_module.sql
ERR(6) 20260703000002_telegram_multimedia.sql
ERR(3) 20260703000003_receipt_items_tasa_validation.sql
OK    20260703000004_exchange_rates_capture_method.sql
ERR(0) 20260703000005_user_preferences.sql
ERR(9) 20260704000001_storefront_config.sql
ERR(3) 20260704000002_storefront_banner_cta.sql
ERR(0) 20260705000000_pick3_subscriptions.sql
ERR(0) 20260705000001_pick3_referrals.sql
ERR(0) 20260705000002_wallet_transfermovil.sql
ERR(5) 20260706000001_wallet_rls_hardening.sql
ERR(3) 20260707000001_add_zelle_to_create_sale.sql
ERR(6) 20260710000001_store_exchange_rates.sql
ERR(6) 20260712000001_payment_tracking.sql
ERR(13) 20260712000001_store_reset_snapshots.sql
ERR(5) 20260712000002_commission_payment_tracking.sql
ERR(3) 20260712000003_fix_cash_report_rls_security.sql
ERR(21) 20260712000004_production_orders.sql
ERR(6) 20260712000005_fix_production_orders_critical.sql
ERR(5) 20260712000006_fix_e2e_100_percent.sql
OK    20260712000007_fix_create_sale_columns.sql
OK    20260712000008_fix_create_sale_enums.sql
ERR(0) 20260713000001_payment_transactions_rls.sql
OK    20260713000001_rss_mipymes_expansion.sql
ERR(6) 20260713000002_accounts_payable_indexes.sql
ERR(1) 20260713000002_rss_spanish_cuba_focus.sql
OK    20260713000003_register_payment_idempotency_overpay.sql
ERR(7) 20260713000004_commission_payments_due_date.sql
OK    20260713000005_fix_trigger_and_rpc_production_orders.sql
ERR(2) 20260714000001_commission_no_overlap_constraint.sql
ERR(18) 20260715000001_commission_advanced_rules.sql
OK    20260715000002_fix_rpc_no_prefix.sql
ERR(5) 20260715000003_storage_banner_policies.sql
OK    20260715000004_cash_report_fix_suppliers.sql
ERR(2) 20260715000005_fix_validate_active_store_trigger.sql
ERR(1) 20260715000006_disable_trigger_on_insert.sql
ERR(2) 20260715000007_trigger_smart_update.sql
ERR(9) 20260715000008_commission_rule_products_per_product_config.sql
ERR(0) 20260715000009_get_products_for_pos_add_price_currency.sql
ERR(5) 20260715000010_commission_rules_add_product_mode.sql
OK    20260715000011_fix_get_products_for_pos_min_stock.sql
ERR(1) 20260715000012_validate_production_order_transitions.sql
OK    20260715000013_ampliar_transiciones.sql
OK    20260715000014_fase6_robustness_fixes.sql
OK    20260715000015_rss_gaceta_special.sql
OK    20260719000001_fix_double_stock_update_production_orders.sql
OK    20260719000002_fix_double_stock_update_production_orders_v2.sql
OK    20260719000003_fix_double_stock_update_production_orders_v3.sql
ERR(5) 20260725000001_fix_reset_store_data_and_snapshots.sql
ERR(22) 20260726000001_v1_1_stabilization.sql
ERR(49) 20260726000002_v1_2_devolutions_customers_quotations_kardex_fiscal.sql
ERR(53) 20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql
ERR(7) 20260726000004_v2_1_deep_integrations.sql
ERR(40) 20260726000005_v2_2_accounting_flow_reversal.sql
ERR(11) 20260726000006_v2_3_production_reversal_and_validation.sql
OK    20260726000007_v2_3_1_reverse_rpcs_bypass_auth.sql
OK    20260726000008_v2_3_2_fix_reverse_adjustment_column.sql
ERR(1) 20260726000009_v2_3_3_drop_legacy_po_trigger.sql
OK    20260726000010_v2_4_2_rpc_duplicate_adjustment_atomic.sql
ERR(0) 20260726000011_v2_5_audit_fixes.sql
OK    20260726000012_v2_5_1_drop_legacy_void_transaction.sql
OK    20260726000013_v2_5_2_drop_duplicate_signatures.sql
OK    20260726000014_v2_5_3_create_transfer_caller_uid.sql
OK    20260726000015_v2_5_4_void_transaction_voided_status.sql
OK    20260726000016_v2_5_5_final_adjustments.sql
ERR(4) 20260726000017_v2_6_h5_get_transferable_stores.sql
OK    20260726000018_v2_7_close_service_compensate_auth.sql
ERR(7) 20260726000019_v2_8_unify_roles.sql
ERR(13) 20260726000020_v2_9_h6_physical_count.sql
ERR(12) 20260726000021_v2_10_h7_transfer_approval.sql
OK    20260726000022_v2_10_1_fix_production_transitions.sql
OK    20260726000023_v2_10_2_fix_create_quotation.sql
OK    20260726000024_v2_10_3_validate_products_in_transfer.sql
ERR(2) 20260726000025_v2_10_4_check_stock_nonneg.sql
ERR(0) 20260726000026_v2_10_5_fix_create_sale_auth.sql
OK    20260726000027_v2_11_adjustment_rpcs.sql
ERR(2) 20260726000028_v2_11_1_fix_voided_check.sql
OK    20260726000029_v2_11_2_fix_reset_store_data.sql
OK    20260726000030_v2_11_3_fix_create_sale_bypass.sql
OK    20260726000031_v2_11_4_fix_reset_missing_tables.sql
ERR(1) 20260726000032_v2_12_critical_fixes.sql
ERR(9) 20260726000033_v2_12_1_categories_table.sql
ERR(2) 20260726000034_v2_12_2_stock_reconciliation.sql
ERR(12) 20260726000035_v2_12_3_multi_currency.sql
OK    20260727000006_v2_12_9_spoofing_p_user_id.sql
OK    20260727000007_v2_12_10_h7_confirm_transfer_requires_approval.sql
OK    20260727000008_v2_12_12_fix_is_not_null_pattern.sql
OK    20260727000009_v2_12_13_revoke_anon_grants_comments.sql
OK    20260727000010_v2_12_16_register_reception_service_role.sql
OK    20260727000011_v2_12_17_adjust_sale_payment.sql
OK    20260727000012_v2_12_18_fix_5_residual_is_not_null.sql
OK    20260727000013_v2_12_19_reconcile_stock_anti_spoofing.sql
OK    20260727000014_v2_12_21_fix_register_reception_stock_movement.sql
OK    20260727000015_v2_12_23_mixed_payment_price_at_sale_fallback.sql
OK    20260727000016_v2_12_24_fix_decimal_rounding.sql
ERR(4) 20260731000001_v2_12_32_fix_ot_bugs.sql
OK    20260731000002_v2_12_33_fix_close_transition.sql
ERR(5) 20260731000003_v2_12_34_exceso_fields.sql
ERR(0) 20260801000001_v2_12_37_fix_e2e_bugs.sql
ERR(10) 20260802000001_v2_12_41_fase0_remediacion.sql
ERR(11) 20260802000002_v2_12_42_transfer_remediation.sql
OK    20260802000003_v2_12_42b_advisory_lock.sql
OK    20260802000004_v2_12_43_get_available_stock.sql
OK    20260802000005_v2_12_44_transfer_confirm_remediation.sql
ERR(103) 20260802000006_v2_12_45_backup_registry.sql
ERR(18) 20260802000007_v2_12_46_restore_rpc_preview.sql
ERR(0) 20260802000008_v2_12_47_restore_rpc_execute.sql
ERR(2) 20260803000001_v2_13_1_audit_logs_lockdown.sql
ERR(4) 20260803000002_v2_13_2_void_transaction_conversion_factor.sql
ERR(2) 20260803000003_v2_13_3_transactions_idempotency_unique.sql
ERR(4) 20260803000004_v2_13_4_create_sale_validate_op_date.sql
ERR(7) 20260803000005_v2_13_5_stock_movements_immutable.sql
ERR(2) 20260803000006_v2_13_6_inventory_reservations_expiry.sql
ERR(0) 20260803000007_v2_13_7_get_products_for_pos_limit.sql
ERR(2) 20260803000008_v2_13_8_transaction_items_index.sql
ERR(0) 20260803000009_v2_13_9_transfer_status_reversada.sql
OK    20260804000001_v2_13_10_fix_release_expired_reservations_cast.sql
ERR(7) 20260805000001_v2_14_1_plan_enum.sql
ERR(9) 20260805000002_v2_14_2_profiles_soft_delete.sql
ERR(9) 20260805000003_v2_14_3_orphaned_users_log.sql
ERR(10) 20260805000004_v2_14_4_user_invitations.sql
OK    20260805000005_v2_14_5_user_audit_log_enhancements.sql
ERR(1) 20260805000006_v2_14_6_is_global_admin_doc.sql
ERR(5) 20260805000007_v2_14_7_managed_create_user_v2.sql
ERR(5) 20260805000008_v2_14_8_managed_update_user.sql
ERR(5) 20260805000009_v2_14_9_managed_toggle_user_status.sql
ERR(5) 20260805000010_v2_14_10_managed_reset_password.sql
ERR(5) 20260805000011_v2_14_11_managed_soft_delete_user.sql
ERR(5) 20260805000012_v2_14_12_managed_update_membership.sql
ERR(0) 20260805000013_v2_14_13_managed_revoke_membership.sql
ERR(0) 20260805000014_v2_14_14_detect_reconcile_orphans.sql
ERR(0) 20260805000015_v2_14_15_get_user_audit_history.sql
ERR(5) 20260805000016_v2_14_16_bulk_assign_memberships_audit.sql
ERR(9) 20260806000001_v2_15_1_tenants_enriched.sql
ERR(1) 20260806000002_v2_15_2_user_role_tenant_admin.sql
ERR(1) 20260806000003_v2_15_3_migrate_existing_to_default_tenant.sql
ERR(1) 20260806000004_v2_15_4_on_auth_user_created_tenant.sql
ERR(0) 20260806000005_v2_15_5_create_store_with_tenant.sql
ERR(5) 20260806000006_v2_15_6_managed_update_tenant_plan.sql
ERR(0) 20260806000007_v2_15_7_check_tenant_store_quota.sql
ERR(0) 20260806000008_v2_15_8_tenant_reports.sql
ERR(5) 20260806000009_v2_15_9_validate_tenant_access.sql
ERR(3) 20260806000010_v2_15_10_tenant_branding_defaults.sql
ERR(2) 20260807000001_v2_16_1_transaction_items_full_columns.sql
ERR(2) 20260807000001_v2_21_0_rls_backfill_validate.sql
ERR(0) 20260807000002_v2_16_2_has_store_role_as.sql
ERR(17) 20260807000002_v2_21_0_rls_backfill_tenant_id.sql
ERR(0) 20260807000003_v2_16_3_create_sale_v2.sql
ERR(15) 20260807000003_v2_21_0_rls_tenant_indexes.sql
ERR(4) 20260807000004_v2_21_0_rls_helper_functions.sql
ERR(27) 20260807000005_v2_21_0_rls_tenant_policies.sql
ERR(6) 20260807000006_v2_21_0_rls_insert_with_check.sql
ERR(0) 20260807000007_v2_21_0_rls_feature_flag.sql
OK    20260807000008_v2_21_0_rls_fix_get_tenant_sales_summary.sql
ERR(2) 20260807000009_v2_21_3_fix_z_reports_unique_index.sql
OK    20260807000010_v2_21_4_fix_create_sale_v2_security.sql
ERR(1) 20260807000011_v2_21_4_fix_create_devolution_v2_qty_validation.sql
ERR(0) 20260807000012_v2_21_5_rls_drop_old_policies.sql
OK    20260807000013_v2_22_0_wac_hotfix_grupo_a.sql
ERR(3) 20260807000014_v2_23_0_receipts_hardening.sql
ERR(3) 20260808000001_v2_17_1_reverse_transaction_v2.sql
ERR(9) 20260808000001_v2_24_g1_schema_sync.sql
ERR(2) 20260808000002_v2_17_2_create_devolution_v2.sql
ERR(2) 20260808000002_v2_24_g2_enum_extend.sql
ERR(0) 20260808000003_v2_17_3_duplicate_adjustment_v2.sql
ERR(2) 20260808000003_v2_24_g3_receive_against_po_final.sql
ERR(3) 20260808000004_v2_17_4_reverse_receipt_v2.sql
OK    20260808000004_v2_24_g4_create_purchase_order_final.sql
ERR(3) 20260808000005_v2_24_g5_immutable_items.sql
ERR(6) 20260808000006_v2_24_g6_cxp_integration.sql
ERR(2) 20260808000007_v2_24_g7_set_purchase_order_status.sql
OK    20260808000010_hotfix_audit_payment_transactions_paid_by.sql
OK    20260808000011_hotfix2_audit_payment_transactions_record_id_uuid.sql
ERR(1) 20260809000001_v2_18_1_cash_closure_immutability.sql
ERR(13) 20260809000001_v2_25_g1_schema_sync.sql
ERR(0) 20260809000002_v2_18_2_close_cash_shift.sql
ERR(9) 20260809000002_v2_25_g2_rls_deny.sql
ERR(3) 20260809000003_v2_18_3_commission_reversal_trigger.sql
ERR(1) 20260809000003_v2_25_g3_trigger_prevent_edit.sql
ERR(3) 20260809000004_v2_18_4_audit_triggers.sql
OK    20260809000004_v2_25_g4_wac_absorption.sql
OK    20260809000005_v2_25_g5_create_received_service_v2.sql
OK    20260809000006_v2_25_g6_void_received_service.sql
OK    20260809000007_v2_25_g7_set_received_service_status.sql
ERR(2) 20260809000008_v2_25_g8_distribute_service_cost_v2.sql
OK    20260809000009_v2_25_g9_link_receipts_to_service.sql
OK    20260809000010_v2_25_g10_audit_migration.sql
OK    20260809000011_v2_25_g11_g12_feature_flag_cleanup.sql
ERR(1) 20260809000012_v2_25_1_hotfix_trigger_select_policy.sql
ERR(2) 20260809000013_v2_25_2_hotfix_cancelled_status.sql
ERR(4) 20260810000001_v2_19_1_document_sequences.sql
ERR(8) 20260810000001_v2_26_g1_schema_sync.sql
ERR(7) 20260810000002_v2_19_2_z_reports.sql
OK    20260810000002_v2_26_g2_receive_production_output.sql
ERR(2) 20260810000003_v2_19_3_invoice_number_fiscal_lock.sql
OK    20260810000003_v2_26_g3_withdraw_production_item.sql
OK    20260810000004_v2_19_4_devolution_sequence.sql
ERR(1) 20260810000004_v2_26_g4_void_closed_production_order.sql
ERR(1) 20260810000005_v2_19_5_fiscal_closings_immutable.sql
OK    20260810000005_v2_26_g5_reverse_production_order.sql
ERR(0) 20260810000006_v2_19_6_fiscal_reports.sql
ERR(1) 20260810000006_v2_26_g6_close_service_order_as_sale.sql
ERR(5) 20260810000007_v2_19_7_retention_policy.sql
OK    20260810000007_v2_26_g7_create_production_order_v2.sql
OK    20260810000008_v2_26_g8_close_production_order_v2.sql
ERR(2) 20260810000009_v2_26_g9_g10_api_cleanup.sql
OK    20260810000010_v2_26_hotfix_record_id_uuid.sql
OK    20260810000011_v2_26_hotfix2_param_hash_exhaustive.sql
OK    20260810000012_v2_26_hotfix3_idempotency_registry.sql
ERR(0) 20260810000020_pr2_migracion_b_schema.sql
OK    20260810000030_pr3_void_pending_reception.sql
OK    20260810000040_pr4_kardex_fix.sql
OK    20260810000041_pr4_3_1_fixes.sql
ERR(10) 20260810000050_pr4_5_security_fixes.sql
ERR(4) 20260810000051_pr4_5_1_security_views_remaining.sql
ERR(3) 20260810000060_pr4_4c_payment_and_date_fixes.sql
ERR(3) 20260810000070_pr4_4e_timezone_services_document.sql
OK    20260810000080_pr4_4f_fix_decimal_reception.sql
ERR(3) 20260810000090_pr4_4f_relax_payment_check.sql
ERR(3) 20260811000001_v2_20_1_audit_logs_trace_id.sql
ERR(1) 20260811000002_v2_20_2_rpc_trace_id.sql
OK    20260811000003_v2_20_3_fix_close_cash_shift_updated_at.sql
OK    20260811000004_v2_20_4_fix_void_transaction_reference_doc.sql
OK    20260811000010_pr4_4g_fix_usd_visualization.sql
ERR(5) 20260812000001_pr4_4i_payment_transactions_hardening.sql
OK    20260812000002_pr4_4i_create_sale_v2_payments.sql
OK    20260812000003_pr4_4i_close_ot_update_payments.sql
ERR(63) 20260817000001_vale_salida.sql
OK    20260817000002_fix_reset_store_data_payment_fk.sql
OK    20260817000003_validate_operation_date_6months.sql
OK    20260817000004_fix_audit_payment_created_by.sql
ERR(4) 20260818000001_security_hardening_h1_h2_h3.sql
ERR(9) 20260818000002_bulk_delete_functions_versioned.sql
ERR(35) 20260820000001_security_fix_spoofable_caller_uid.sql
ERR(0) 20260820000002_catalog_pagination_v2.sql
OK    20260820000003_fix_rpc_stock_source.sql
ERR(1) 20260820000004_sync_products_stock_current.sql
ERR(1) 20260820000005_post_restore_reconciliation.sql
OK    20260820000006_fix_fn_sync_inventory_on_movement.sql
OK    20260820000007_fix_h01_store_mismatch.sql
ERR(17) 20260820000008_catalog_hardening.sql
OK    20260820000009_fix_pos_barcode_lookup.sql
OK    20260820000010_fix_barcode_type_and_rpc_trim.sql
OK    20260823000001_get_products_for_pos_add_barcode.sql
ERR(4) 20260823000002_get_paginated_products_v2_add_fields.sql
ERR(15) 20260824000001_telegram_auto_publish.sql
ERR(4) 20260824000002_telegram_show_price_units.sql
ERR(5) 20260824000003_telegram_interval_minutes.sql
ERR(20) 20260824000004_whatsapp_auto_publish.sql
ERR(17) 20260827000005_audit_f3p001_rls_write_isolation.sql
OK    20260827000006_exchange_rates_manual_hardening.sql
SKIP  AUDIT_FIXES.md (no-timestamped)
SKIP  DEMO_RESET_SCRIPT.sql (no-timestamped)
SKIP  DEMO_RESET_SCRIPT_V2.sql (no-timestamped)
SKIP  DEMO_RESET_SCRIPT_V3.sql (no-timestamped)
SKIP  DEPLOY_INSTRUCTIONS.md (no-timestamped)
SKIP  register_reception_rpc.sql (no-timestamped)
SKIP  run_sql_checks.ps1 (no-timestamped)
SKIP  run_sql_checks.sh (no-timestamped)
SKIP  sql_checks.sql (no-timestamped)
SKIP  validation_checklist.md (no-timestamped)
════════════════════════════════════
RESUMEN: ok=123  con_errores=246  skip_no_timestamped=10
